n0,g96,g94
n1,g56,g74
n2,g6,g70
n3,g79,g58
n4,g40,g9
n5,g99,g13
n6,g27,g18
n7,g92,g54
n8,g23,g90
n9,g79,g16
n10,g90,g70
n11,g58,g30
n12,g4,g22
n13,g69,g64
n14,g41,g34
n15,g94,g38
n16,g59,g23
n17,g50,g41
n18,g55,g7
n19,g90,g53
n20,g24,g85
n21,g25,g29
n22,g39,g61
n23,g69,g65
n24,g13,g71
n25,g37,g27
n26,g46,g63
n27,g37,g33
n28,g91,g3
n29,g30,g22
n30,g49,g47
n31,g56,g52
n32,g79,g32
n33,g57,g76
n34,g35,g73
n35,g47,g24
n36,g24,g77
n37,g43,g93
n38,g27,g42
n39,g49,g44
n40,g56,g83
n41,g81,g38
n42,g25,g35
n43,g34,g1
n44,g43,g68
n45,g88,g25
n46,g0,g2
n47,g11,g23
n48,g27,g59
n49,g53,g6
n50,g9,g85
n51,g5,g89
n52,g76,g56
n53,g91,g93
n54,g52,g8
n55,g48,g45
n56,g60,g64
n57,g39,g28
n58,g19,g81
n59,g19,g14
n60,g26,g49
n61,g17,g30
n62,g57,g12
n63,g9,g55
n64,g12,g48
n65,g28,g60
n66,g87,g66
n67,g61,g89
n68,g49,g66
n69,g52,g30
n70,g22,g62
n71,g30,g74
n72,g51,g1
n73,g88,g8
n74,g22,g54
n75,g14,g5
n76,g36,g22
n77,g66,g44
n78,g82,g89
n79,g5,g88
