n70,g53,g1
n65,g49,g22
n6,g42,g68
n35,g86,g46
n4,g0,g80
n32,g56,g94
n72,g77,g87
n74,g78,g95
n26,g76,g65
n21,g84,g18
n60,g34,g86
n20,g78,g8
n73,g93,g62
n51,g91,g95
n69,g48,g54
n71,g35,g65
n28,g88,g74
n77,g34,g10
n14,g27,g21
n45,g50,g32
n39,g38,g7
n5,g83,g59
n23,g59,g51
n24,g35,g85
n54,g74,g66
n16,g2,g65
n17,g33,g17
n18,g91,g15
n63,g14,g43
n9,g2,g48
n25,g98,g47
n30,g58,g72
n31,g44,g52
n10,g44,g73
n43,g0,g89
n68,g45,g48
n34,g34,g67
n8,g71,g77
n53,g24,g36
n55,g74,g28
n38,g91,g0
n33,g34,g22
n62,g47,g73
n11,g49,g88
n27,g43,g69
n50,g66,g37
n44,g86,g21
n12,g1,g12
n67,g56,g69
n75,g85,g72
n0,g93,g9
n22,g85,g94
n58,g96,g41
n36,g27,g17
n42,g9,g72
n61,g58,g26
n78,g94,g59
n3,g56,g24
n29,g13,g23
n47,g16,g97
n49,g52,g87
n52,g14,g71
n59,g65,g75
n57,g39,g69
n66,g96,g35
n37,g65,g80
n13,g71,g89
n40,g88,g85
n19,g54,g62
n46,g70,g38
n7,g73,g31
n15,g28,g84
n48,g77,g75
n41,g15,g95
n76,g25,g78
n64,g16,g21
n56,g4,g6
n2,g71,g66
n1,g47,g60
