n70,g12,g87
n65,g18,g89
n6,g36,g78
n35,g18,g48
n4,g10,g91
n32,g52,g38
n72,g97,g25
n74,g84,g22
n26,g80,g21
n21,g2,g99
n60,g4,g36
n20,g11,g49
n73,g11,g77
n51,g54,g86
n69,g76,g80
n71,g83,g94
n28,g8,g37
n14,g30,g63
n45,g92,g1
n39,g94,g47
n5,g51,g45
n23,g9,g19
n24,g46,g24
n54,g40,g95
n16,g24,g79
n17,g48,g2
n18,g97,g52
n63,g66,g37
n9,g6,g42
n25,g78,g96
n30,g19,g86
n31,g88,g25
n10,g34,g49
n43,g9,g25
n68,g13,g55
n34,g91,g76
n8,g30,g93
n53,g73,g7
n55,g91,g78
n38,g49,g1
n33,g95,g92
n62,g89,g72
n11,g3,g70
n27,g95,g65
n50,g59,g39
n44,g67,g39
n12,g44,g91
n67,g30,g68
n75,g80,g74
n0,g77,g46
n22,g66,g86
n58,g57,g44
n36,g52,g60
n42,g1,g99
n61,g86,g83
n3,g85,g94
n29,g6,g26
n47,g37,g16
n49,g42,g90
n52,g96,g33
n59,g41,g40
n57,g3,g59
n66,g23,g26
n37,g44,g29
n13,g87,g6
n40,g77,g68
n19,g83,g0
n46,g19,g89
n7,g31,g69
n15,g14,g33
n48,g6,g49
n41,g19,g83
n64,g58,g52
n56,g58,g97
n2,g37,g92
n1,g16,g30
