n70,g24,g38
n65,g43,g98
n6,g87,g63
n35,g3,g70
n4,g28,g51
n32,g94,g34
n72,g52,g42
n74,g66,g51
n26,g14,g27
n21,g18,g86
n60,g82,g55
n20,g6,g46
n73,g58,g27
n51,g93,g58
n69,g90,g89
n71,g81,g75
n28,g74,g46
n14,g37,g73
n45,g76,g8
n39,g0,g91
n5,g13,g8
n23,g18,g40
n24,g54,g93
n54,g82,g17
n16,g47,g72
n17,g16,g20
n18,g54,g31
n63,g77,g70
n9,g40,g75
n25,g18,g53
n30,g97,g81
n31,g56,g61
n10,g53,g92
n43,g95,g43
n68,g59,g90
n34,g54,g4
n8,g40,g4
n53,g76,g63
n55,g98,g6
n38,g17,g98
n33,g87,g32
n62,g90,g96
n11,g11,g17
n27,g52,g73
n50,g57,g13
n44,g99,g41
n12,g88,g39
n67,g38,g42
n75,g21,g43
n0,g34,g44
n22,g18,g56
n58,g69,g55
n36,g43,g41
n42,g66,g99
n61,g15,g79
n3,g16,g94
n29,g12,g98
n47,g27,g10
n49,g45,g93
n52,g69,g80
n59,g37,g90
n57,g42,g67
n66,g66,g84
n37,g90,g49
n13,g64,g55
n40,g67,g91
n19,g14,g55
n46,g5,g45
n7,g13,g74
n15,g11,g76
n48,g65,g66
n41,g22,g3
n64,g88,g6
n56,g98,g59
n2,g94,g12
n1,g89,g11
