n70,g18,g12
n65,g13,g7
n6,g67,g19
n35,g87,g98
n4,g76,g94
n32,g6,g73
n72,g36,g15
n74,g35,g99
n26,g42,g88
n21,g76,g4
n60,g26,g38
n20,g94,g86
n73,g59,g10
n51,g98,g51
n69,g40,g47
n71,g70,g0
n28,g77,g49
n14,g42,g86
n45,g47,g88
n39,g54,g89
n5,g85,g99
n23,g27,g72
n24,g21,g72
n54,g54,g83
n16,g96,g76
n17,g24,g98
n18,g49,g3
n63,g73,g82
n9,g76,g43
n25,g56,g44
n30,g98,g42
n31,g64,g31
n10,g29,g0
n43,g29,g33
n68,g54,g50
n34,g73,g86
n8,g89,g98
n53,g36,g3
n55,g76,g70
n38,g19,g38
n33,g12,g23
n62,g69,g40
n11,g31,g82
n27,g22,g62
n50,g83,g6
n44,g1,g41
n12,g56,g74
n67,g7,g97
n75,g72,g58
n0,g46,g72
n22,g75,g2
n58,g46,g91
n36,g66,g81
n42,g83,g20
n61,g15,g13
n3,g37,g19
n29,g86,g27
n47,g6,g67
n49,g50,g74
n52,g69,g15
n59,g32,g69
n57,g83,g7
n66,g72,g51
n37,g73,g25
n13,g70,g27
n40,g96,g94
n19,g71,g74
n46,g6,g15
n7,g12,g16
n15,g32,g30
n48,g89,g97
n41,g63,g40
n64,g67,g77
n56,g55,g28
n2,g60,g3
n1,g60,g82
