n70,g50,g15
n65,g38,g23
n6,g22,g56
n35,g56,g71
n4,g16,g21
n32,g7,g35
n72,g18,g75
n74,g55,g92
n26,g11,g22
n21,g25,g26
n60,g61,g92
n20,g58,g84
n73,g26,g85
n51,g89,g38
n69,g63,g27
n71,g33,g75
n28,g88,g87
n14,g31,g18
n45,g57,g79
n39,g10,g26
n5,g64,g39
n23,g48,g71
n24,g43,g19
n54,g39,g88
n16,g65,g27
n17,g24,g55
n18,g27,g77
n63,g35,g78
n9,g9,g65
n25,g91,g16
n30,g33,g11
n31,g94,g77
n10,g24,g96
n43,g55,g48
n68,g39,g97
n34,g2,g25
n8,g88,g1
n53,g73,g5
n55,g86,g0
n38,g26,g14
n33,g18,g47
n62,g34,g77
n11,g43,g34
n27,g87,g81
n50,g13,g34
n44,g82,g53
n12,g59,g92
n67,g19,g18
n75,g31,g68
n0,g19,g8
n22,g73,g94
n58,g59,g1
n36,g16,g7
n42,g90,g98
n61,g48,g43
n3,g77,g73
n29,g49,g26
n47,g76,g20
n49,g84,g83
n52,g85,g10
n59,g8,g88
n57,g95,g72
n66,g41,g40
n37,g35,g8
n13,g89,g61
n40,g23,g78
n19,g53,g60
n46,g47,g94
n7,g53,g36
n15,g35,g56
n48,g32,g91
n41,g88,g92
n64,g82,g49
n56,g71,g20
n2,g1,g27
n1,g87,g62
