n70,g62,g74
n65,g67,g77
n6,g64,g87
n35,g25,g67
n4,g41,g77
n32,g16,g91
n72,g60,g86
n26,g23,g8
n21,g44,g0
n60,g94,g11
n20,g11,g29
n51,g34,g54
n69,g83,g81
n71,g98,g50
n28,g56,g40
n14,g42,g22
n45,g46,g64
n39,g77,g65
n5,g81,g56
n23,g96,g15
n24,g95,g5
n54,g12,g39
n16,g48,g21
n17,g21,g70
n18,g80,g75
n63,g58,g43
n9,g42,g73
n25,g37,g90
n30,g40,g15
n31,g6,g27
n10,g96,g77
n43,g32,g38
n68,g70,g17
n34,g50,g63
n8,g4,g53
n53,g18,g5
n55,g73,g59
n38,g11,g75
n33,g91,g60
n62,g85,g49
n11,g17,g65
n27,g26,g43
n50,g67,g18
n44,g58,g44
n12,g12,g85
n67,g80,g50
n0,g24,g63
n22,g53,g63
n58,g74,g47
n36,g67,g21
n42,g37,g65
n61,g82,g47
n3,g39,g49
n29,g37,g76
n47,g60,g18
n49,g6,g45
n52,g21,g68
n59,g41,g48
n57,g33,g44
n66,g6,g20
n37,g16,g25
n13,g14,g91
n40,g33,g42
n19,g81,g72
n46,g22,g68
n7,g72,g33
n15,g46,g53
n48,g11,g24
n41,g49,g20
n64,g19,g65
n56,g34,g25
n2,g2,g35
n1,g51,g6
