n70,g14,g32
n65,g90,g55
n6,g57,g43
n35,g65,g68
n4,g30,g65
n32,g26,g41
n72,g33,g1
n26,g3,g77
n21,g66,g83
n60,g70,g57
n20,g93,g85
n51,g52,g54
n69,g12,g97
n71,g73,g44
n28,g24,g15
n14,g31,g19
n45,g77,g40
n39,g72,g42
n5,g21,g52
n23,g41,g36
n24,g63,g9
n54,g98,g26
n16,g19,g29
n17,g11,g61
n18,g89,g33
n63,g59,g43
n9,g75,g91
n25,g1,g54
n30,g1,g92
n31,g86,g59
n10,g20,g57
n43,g76,g19
n68,g63,g81
n34,g50,g98
n8,g10,g73
n53,g44,g62
n55,g1,g52
n38,g47,g86
n33,g72,g87
n62,g44,g42
n11,g17,g69
n27,g44,g90
n50,g24,g68
n44,g32,g68
n12,g30,g63
n67,g81,g26
n0,g13,g17
n22,g28,g4
n58,g20,g64
n36,g90,g84
n42,g26,g96
n61,g80,g92
n3,g42,g6
n29,g36,g28
n47,g87,g73
n49,g29,g14
n52,g45,g2
n59,g5,g31
n57,g71,g45
n66,g29,g53
n37,g38,g41
n13,g21,g92
n40,g99,g6
n19,g41,g29
n46,g22,g57
n7,g19,g28
n15,g4,g34
n48,g61,g72
n41,g77,g86
n64,g21,g59
n56,g44,g11
n2,g52,g27
n1,g95,g92
