0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,g1,0,0,0,0,g2,0,0,0,g3,0,0,0,0,g4,0,0
0,0,0,g5,0,0,0,0,0,0,0,0,g6,0,g7,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,g8,0,0,0,0,0
0,0,0,0,0,0,0,0,g9,0,0,0,0,0,0,0,0,0
0,g10,0,0,g11,0,0,0,0,0,0,g12,0,0,0,0,g13,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,g14,0,0,g15,0
0,0,g16,0,0,0,g17,0,0,g18,0,g19,0,0,0,g20,0,0
0,g21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,g22,0,0,0,0,0,0,g23,0,0,0,0,0,0,0,0
0,g24,0,0,0,0,0,0,0,0,0,0,g25,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
