n0,g25,g79
n1,g47,g95
n2,g68,g11
n3,g88,g37
n4,g44,g48
n5,g48,g24
n6,g95,g23
n7,g35,g30
n8,g70,g42
n9,g23,g47
n10,g52,g99
n11,g44,g26
n12,g17,g72
n13,g39,g94
n14,g91,g42
n15,g85,g10
n16,g76,g60
n17,g94,g2
n18,g19,g28
n19,g65,g39
n20,g59,g69
n21,g50,g30
n22,g42,g49
n23,g21,g77
n24,g66,g72
n25,g29,g12
n26,g33,g76
n27,g45,g66
n28,g62,g76
n29,g86,g82
n30,g29,g49
n31,g29,g42
n32,g14,g61
n33,g0,g73
n34,g75,g8
n35,g52,g21
n36,g57,g81
n37,g37,g10
n38,g65,g11
n39,g91,g87
n40,g27,g71
n41,g72,g22
n42,g27,g86
n43,g38,g34
n44,g10,g2
n45,g34,g27
n46,g29,g9
n47,g16,g18
n48,g85,g77
n49,g86,g28
n50,g22,g83
n51,g23,g21
n52,g61,g24
n53,g81,g60
n54,g21,g53
n55,g76,g87
n56,g17,g68
n57,g59,g41
n58,g32,g84
n59,g96,g0
n60,g40,g18
n61,g98,g43
n62,g58,g1
n63,g92,g71
n64,g32,g9
n65,g20,g6
n66,g20,g46
n67,g40,g56
n68,g81,g29
n69,g54,g85
n70,g48,g5
n71,g32,g37
n72,g7,g75
n73,g80,g67
n74,g15,g33
n75,g56,g32
n76,g75,g33
n77,g53,g27
n78,g16,g51
n79,g89,g59
n80,g99,g4
n81,g68,g61
n82,g55,g80
n83,g2,g16
n84,g10,g59
n85,g38,g22
n86,g7,g74
n87,g23,g77
n88,g77,g13
n89,g24,g25
n90,g45,g31
n91,g19,g88
n92,g5,g35
n93,g17,g76
n94,g33,g45
n95,g89,g63
n96,g92,g96
n97,g24,g71
n98,g18,g35
n99,g64,g61
n100,g32,g23
n101,g97,g74
n102,g3,g37
n103,g79,g8
n104,g30,g54
n105,g21,g33
n106,g44,g6
n107,g89,g46
n108,g9,g17
n109,g51,g18
n110,g53,g45
n111,g73,g93
n112,g73,g64
n113,g0,g60
n114,g22,g40
n115,g86,g16
n116,g65,g88
n117,g3,g25
n118,g89,g69
n119,g49,g10
