n0,g6,g4
n1,g59,g15
n2,g53,g21
n3,g82,g39
n4,g69,g99
n5,g23,g35
n6,g24,g36
n7,g26,g48
n8,g15,g48
n9,g95,g9
n10,g3,g63
n11,g19,g82
n12,g70,g40
n13,g25,g60
n14,g57,g1
n15,g89,g15
n16,g36,g34
n17,g99,g65
n18,g29,g41
n19,g65,g22
n20,g52,g19
n21,g63,g62
n22,g67,g7
n23,g61,g18
n24,g88,g47
n25,g30,g39
n26,g85,g23
n27,g60,g48
n28,g60,g6
n29,g20,g47
n30,g10,g21
n31,g48,g84
n32,g15,g30
n33,g61,g82
n34,g74,g50
n35,g82,g43
n36,g29,g59
n37,g81,g56
n38,g28,g27
n39,g80,g75
n40,g17,g25
n41,g70,g39
n42,g2,g84
n43,g56,g50
n44,g92,g1
n45,g9,g50
n46,g80,g23
n47,g27,g62
n48,g53,g42
n49,g68,g40
n50,g89,g19
n51,g73,g21
n52,g18,g17
n53,g13,g75
n54,g99,g11
n55,g60,g84
n56,g83,g52
n57,g12,g0
n58,g64,g23
n59,g39,g50
n60,g18,g19
n61,g24,g61
n62,g7,g82
n63,g61,g16
n64,g49,g78
n65,g84,g85
n66,g56,g99
n67,g41,g42
n68,g98,g32
n69,g77,g54
n70,g27,g75
n71,g86,g87
n72,g52,g70
n73,g18,g67
n74,g90,g25
n75,g71,g55
n76,g29,g71
n77,g53,g30
n78,g69,g79
n79,g9,g98
n80,g70,g54
n81,g44,g89
n82,g29,g7
n83,g84,g29
n84,g30,g73
n85,g55,g98
n86,g38,g28
n87,g33,g27
n88,g62,g92
n89,g23,g81
n90,g47,g80
n91,g26,g68
n92,g12,g65
n93,g20,g96
n94,g62,g76
n95,g14,g57
n96,g22,g96
n97,g0,g24
n98,g81,g3
n99,g13,g9
n100,g85,g67
n101,g69,g57
n102,g92,g74
n103,g77,g83
n104,g1,g20
n105,g69,g88
n106,g20,g33
n107,g19,g65
n108,g57,g27
n109,g11,g54
n110,g25,g98
n111,g80,g81
n112,g39,g34
n113,g13,g94
n114,g81,g67
n115,g94,g14
n116,g89,g83
n117,g37,g74
n118,g89,g90
n119,g9,g78
