n70,g82,g49
n65,g83,g53
n6,g0,g96
n35,g3,g5
n4,g22,g80
n32,g52,g68
n72,g25,g52
n26,g71,g14
n21,g68,g17
n60,g76,g6
n20,g95,g73
n73,g87,g93
n51,g89,g38
n69,g89,g71
n71,g86,g99
n28,g3,g6
n14,g28,g37
n45,g57,g45
n39,g95,g69
n5,g57,g68
n23,g71,g51
n24,g6,g45
n54,g26,g9
n16,g11,g92
n17,g0,g56
n18,g6,g20
n63,g1,g91
n9,g36,g58
n25,g49,g54
n30,g31,g46
n31,g76,g92
n10,g14,g87
n43,g40,g99
n68,g13,g69
n34,g41,g4
n8,g0,g80
n53,g57,g0
n55,g9,g61
n38,g64,g68
n33,g58,g30
n62,g84,g18
n11,g67,g10
n27,g42,g85
n50,g78,g70
n44,g40,g31
n12,g45,g25
n67,g61,g52
n0,g78,g84
n22,g24,g31
n58,g20,g55
n36,g21,g54
n42,g63,g9
n61,g76,g9
n3,g4,g78
n29,g38,g11
n47,g57,g38
n49,g27,g63
n52,g13,g45
n59,g25,g60
n57,g44,g56
n66,g47,g16
n37,g18,g19
n13,g90,g81
n40,g45,g72
n19,g43,g73
n46,g9,g66
n7,g71,g30
n15,g23,g98
n48,g67,g53
n41,g29,g95
n64,g11,g33
n56,g0,g92
n2,g4,g57
n1,g49,g43
