n70,g93,g64
n65,g19,g42
n6,g66,g60
n35,g47,g4
n4,g52,g39
n32,g42,g30
n72,g64,g91
n26,g22,g24
n21,g85,g20
n60,g46,g36
n20,g54,g69
n73,g54,g20
n51,g28,g92
n69,g62,g25
n71,g78,g25
n28,g60,g3
n14,g11,g30
n45,g92,g19
n39,g96,g92
n5,g5,g51
n23,g25,g94
n24,g2,g25
n54,g84,g51
n16,g50,g37
n17,g38,g58
n18,g34,g53
n63,g78,g39
n9,g60,g92
n25,g44,g75
n30,g95,g60
n31,g21,g78
n10,g68,g61
n43,g36,g41
n68,g89,g60
n34,g73,g61
n8,g6,g23
n53,g86,g47
n55,g52,g8
n38,g88,g18
n33,g36,g62
n62,g16,g79
n11,g53,g59
n27,g24,g67
n50,g65,g86
n44,g84,g97
n12,g13,g81
n67,g4,g87
n0,g49,g62
n22,g1,g28
n58,g59,g61
n36,g7,g59
n42,g88,g48
n61,g28,g22
n3,g46,g26
n29,g61,g97
n47,g24,g26
n49,g99,g19
n52,g83,g62
n59,g74,g34
n57,g47,g25
n66,g91,g88
n37,g7,g90
n13,g16,g29
n40,g99,g34
n19,g53,g82
n46,g17,g45
n7,g29,g26
n15,g64,g59
n48,g55,g8
n41,g32,g92
n64,g2,g78
n56,g21,g23
n2,g30,g5
n1,g34,g1
