n70,g95,g38
n65,g93,g14
n6,g7,g28
n35,g4,g46
n4,g30,g54
n32,g43,g98
n72,g31,g14
n83,g3,g57
n74,g36,g27
n84,g78,g98
n26,g0,g51
n21,g60,g64
n60,g75,g46
n20,g50,g49
n73,g62,g10
n51,g40,g86
n69,g70,g96
n71,g94,g86
n28,g58,g73
n77,g47,g50
n14,g50,g24
n45,g71,g65
n39,g83,g67
n5,g32,g59
n23,g37,g69
n24,g25,g51
n54,g34,g91
n16,g8,g42
n82,g4,g76
n17,g16,g78
n18,g7,g0
n63,g34,g23
n9,g15,g85
n25,g11,g92
n30,g49,g86
n31,g26,g83
n10,g47,g91
n43,g11,g48
n68,g68,g77
n34,g94,g1
n8,g15,g11
n79,g84,g47
n53,g7,g46
n55,g56,g88
n38,g12,g73
n33,g80,g20
n62,g25,g90
n11,g27,g72
n27,g43,g65
n50,g14,g84
n44,g32,g97
n12,g84,g21
n67,g68,g43
n75,g4,g56
n80,g64,g92
n0,g62,g83
n22,g27,g29
n81,g59,g18
n58,g27,g69
n36,g66,g1
n42,g39,g44
n61,g73,g93
n78,g12,g36
n3,g20,g71
n29,g78,g14
n47,g50,g52
n49,g48,g54
n52,g11,g7
n59,g75,g73
n57,g7,g14
n66,g88,g37
n37,g68,g61
n13,g89,g59
n40,g33,g99
n19,g79,g37
n46,g22,g2
n7,g70,g16
n15,g90,g60
n48,g93,g94
n41,g68,g55
n76,g80,g26
n64,g34,g86
n56,g76,g56
n2,g83,g49
n1,g15,g8
