n0,g92,g28
n1,g65,g84
n2,g11,g16
n3,g58,g65
n4,g84,g76
n5,g3,g43
n6,g50,g32
n7,g87,g56
n8,g18,g27
n9,g93,g15
n10,g32,g43
n11,g73,g83
n12,g17,g1
n13,g64,g74
n14,g25,g5
n15,g38,g62
n16,g23,g21
n17,g0,g26
n18,g45,g12
n19,g8,g24
n20,g59,g84
n21,g62,g41
n22,g32,g4
n23,g32,g7
n24,g20,g43
n25,g45,g71
n26,g21,g85
n27,g36,g87
n28,g46,g75
n29,g40,g64
n30,g68,g64
n31,g18,g52
n32,g5,g7
n33,g42,g99
n34,g98,g5
n35,g90,g22
n36,g95,g99
n37,g10,g25
n38,g30,g89
n39,g28,g26
n40,g62,g82
n41,g88,g46
n42,g17,g34
n43,g0,g97
n44,g36,g57
n45,g70,g42
n46,g52,g61
n47,g45,g31
n48,g59,g4
n49,g36,g3
n50,g63,g5
n51,g81,g33
n52,g55,g81
n53,g78,g11
n54,g12,g96
n55,g89,g33
n56,g38,g3
n57,g73,g46
n58,g80,g17
n59,g78,g2
n60,g20,g90
n61,g27,g24
n62,g21,g26
n63,g91,g39
n64,g43,g58
n65,g54,g52
n66,g41,g44
n67,g78,g83
n68,g23,g0
n69,g70,g78
n70,g82,g96
n71,g68,g13
n72,g79,g63
n73,g29,g38
n74,g37,g16
n75,g71,g89
n76,g68,g41
n77,g53,g37
n78,g11,g80
n79,g64,g42
n80,g32,g8
n81,g11,g91
n82,g47,g77
n83,g12,g85
n84,g0,g67
n85,g40,g39
n86,g70,g9
n87,g4,g3
n88,g71,g67
n89,g59,g62
n90,g83,g87
n91,g99,g68
n92,g35,g74
n93,g44,g2
n94,g21,g13
n95,g28,g41
n96,g21,g46
n97,g62,g44
n98,g17,g84
n99,g24,g61
n100,g87,g98
n101,g94,g50
n102,g79,g54
n103,g55,g92
n104,g78,g72
n105,g94,g2
n106,g13,g81
n107,g77,g35
n108,g84,g77
n109,g91,g41
n110,g98,g57
n111,g19,g45
n112,g73,g37
n113,g37,g95
n114,g10,g13
n115,g95,g98
n116,g93,g45
n117,g18,g82
n118,g37,g44
n119,g91,g5
n120,g29,g4
n121,g75,g59
n122,g96,g7
n123,g50,g69
n124,g65,g75
n125,g83,g97
n126,g73,g16
n127,g58,g80
n128,g2,g30
n129,g46,g81
n130,g86,g16
n131,g2,g65
n132,g16,g85
n133,g71,g92
n134,g91,g17
n135,g81,g25
n136,g28,g61
n137,g38,g82
n138,g70,g72
n139,g69,g7
n140,g10,g31
n141,g31,g92
n142,g82,g88
n143,g54,g77
n144,g79,g66
n145,g28,g36
n146,g61,g29
n147,g99,g25
n148,g27,g52
n149,g97,g34
n150,g69,g35
n151,g93,g98
n152,g7,g24
n153,g66,g48
n154,g19,g10
n155,g85,g31
n156,g47,g33
n157,g8,g96
n158,g67,g60
n159,g79,g76
n160,g63,g40
n161,g89,g54
n162,g89,g39
n163,g79,g92
n164,g74,g4
n165,g27,g12
n166,g33,g19
n167,g67,g93
n168,g85,g83
n169,g42,g60
n170,g23,g54
n171,g9,g60
n172,g72,g97
n173,g65,g51
n174,g6,g47
n175,g58,g59
n176,g52,g47
n177,g14,g66
n178,g48,g31
n179,g71,g60
n180,g72,g47
n181,g63,g74
n182,g10,g76
n183,g74,g70
n184,g8,g90
n185,g48,g58
n186,g93,g42
n187,g97,g48
n188,g76,g18
n189,g49,g96
