n0,g33,g48
n1,g7,g56
n2,g17,g40
n3,g91,g46
n4,g37,g57
n5,g64,g91
n6,g91,g10
n7,g59,g70
n8,g99,g43
n9,g43,g60
n10,g3,g62
n11,g20,g23
n12,g42,g22
n13,g70,g47
n14,g74,g16
n15,g30,g70
n16,g8,g18
n17,g88,g97
n18,g54,g45
n19,g43,g94
n20,g8,g58
n21,g0,g22
n22,g50,g89
n23,g15,g61
n24,g99,g61
n25,g35,g44
n26,g80,g34
n27,g9,g12
n28,g36,g7
n29,g72,g71
n30,g1,g61
n31,g12,g16
n32,g29,g25
n33,g15,g90
n34,g82,g4
n35,g69,g32
n36,g39,g16
n37,g30,g42
n38,g2,g65
n39,g67,g40
n40,g87,g42
n41,g67,g75
n42,g46,g39
n43,g59,g74
n44,g4,g0
n45,g23,g34
n46,g45,g32
n47,g37,g36
n48,g3,g70
n49,g36,g41
n50,g26,g78
n51,g17,g8
n52,g28,g26
n53,g82,g40
n54,g92,g95
n55,g84,g72
n56,g14,g28
n57,g27,g13
n58,g76,g52
n59,g19,g66
n60,g60,g56
n61,g83,g29
n62,g82,g68
n63,g36,g64
n64,g74,g18
n65,g97,g60
n66,g67,g82
n67,g80,g60
n68,g71,g29
n69,g47,g59
n70,g17,g83
n71,g84,g44
n72,g86,g1
n73,g15,g78
n74,g76,g47
n75,g13,g84
n76,g31,g92
n77,g24,g67
n78,g93,g97
n79,g26,g73
