n0,g19,g54
n1,g96,g44
n2,g43,g71
n3,g36,g80
n4,g34,g26
n5,g46,g2
n6,g85,g93
n7,g57,g4
n8,g34,g56
n9,g79,g64
n10,g30,g24
n11,g51,g6
n12,g22,g33
n13,g55,g30
n14,g95,g15
n15,g65,g62
n16,g95,g28
n17,g44,g50
n18,g76,g57
n19,g96,g87
n20,g62,g27
n21,g8,g58
n22,g67,g16
n23,g48,g73
n24,g72,g41
n25,g62,g76
n26,g82,g3
n27,g54,g44
n28,g48,g72
n29,g79,g60
n30,g94,g31
n31,g85,g38
n32,g66,g15
n33,g81,g84
n34,g72,g91
n35,g75,g58
n36,g38,g52
n37,g3,g75
n38,g20,g52
n39,g74,g10
n40,g13,g82
n41,g9,g15
n42,g90,g4
n43,g3,g11
n44,g59,g2
n45,g10,g42
n46,g55,g79
n47,g52,g75
n48,g5,g3
n49,g58,g88
n50,g88,g84
n51,g56,g10
n52,g36,g30
n53,g21,g89
n54,g85,g81
n55,g26,g35
n56,g78,g51
n57,g31,g44
n58,g22,g98
n59,g49,g21
n60,g14,g99
n61,g35,g96
n62,g11,g21
n63,g98,g94
n64,g48,g51
n65,g92,g72
n66,g15,g70
n67,g77,g19
n68,g97,g17
n69,g88,g83
n70,g24,g10
n71,g53,g24
n72,g89,g75
n73,g28,g48
n74,g27,g85
n75,g34,g39
n76,g34,g43
n77,g53,g65
n78,g88,g35
n79,g6,g50
