n70,g16,g47
n65,g90,g36
n6,g67,g57
n35,g61,g24
n4,g99,g46
n32,g78,g59
n72,g15,g55
n74,g18,g68
n26,g80,g16
n21,g24,g70
n60,g15,g12
n20,g83,g49
n73,g15,g65
n51,g25,g51
n69,g83,g60
n71,g82,g80
n28,g21,g35
n77,g95,g9
n14,g65,g54
n45,g46,g53
n39,g99,g36
n5,g39,g19
n23,g81,g55
n24,g65,g13
n54,g96,g29
n16,g6,g69
n17,g54,g24
n18,g24,g9
n63,g2,g48
n9,g12,g39
n25,g67,g21
n30,g52,g61
n31,g66,g84
n10,g73,g94
n43,g97,g42
n68,g53,g69
n34,g98,g74
n8,g27,g80
n79,g55,g38
n53,g46,g96
n55,g77,g67
n38,g75,g68
n33,g56,g84
n62,g67,g85
n11,g70,g79
n27,g42,g95
n50,g94,g52
n44,g91,g80
n12,g45,g70
n67,g1,g92
n75,g28,g94
n80,g76,g84
n0,g99,g65
n22,g39,g4
n58,g89,g77
n36,g52,g70
n42,g4,g91
n61,g8,g42
n78,g23,g35
n3,g9,g66
n29,g30,g78
n47,g22,g79
n49,g59,g15
n52,g14,g17
n59,g61,g40
n57,g30,g46
n66,g94,g62
n37,g52,g51
n13,g4,g56
n40,g19,g64
n19,g17,g99
n46,g9,g98
n7,g76,g27
n15,g59,g73
n48,g14,g60
n41,g13,g90
n76,g88,g44
n64,g39,g34
n56,g38,g72
n2,g42,g76
n1,g4,g10
