n70,g45,g86
n65,g87,g99
n6,g21,g56
n35,g76,g85
n4,g55,g85
n32,g78,g17
n72,g36,g51
n74,g98,g93
n26,g5,g62
n21,g0,g17
n60,g52,g92
n20,g18,g15
n73,g35,g89
n51,g22,g83
n69,g32,g67
n71,g18,g88
n28,g71,g38
n77,g78,g33
n14,g23,g72
n45,g91,g30
n39,g95,g74
n5,g6,g62
n23,g56,g1
n24,g21,g75
n54,g0,g84
n16,g12,g6
n17,g9,g44
n18,g39,g43
n63,g69,g23
n9,g22,g68
n25,g74,g29
n30,g97,g83
n31,g57,g27
n10,g40,g31
n43,g3,g66
n68,g40,g54
n34,g27,g3
n8,g98,g31
n79,g41,g7
n53,g73,g83
n55,g54,g10
n38,g19,g25
n33,g55,g10
n62,g6,g96
n11,g20,g27
n27,g80,g46
n50,g40,g29
n44,g62,g41
n12,g5,g20
n67,g0,g54
n75,g37,g28
n80,g39,g45
n0,g56,g95
n22,g87,g95
n58,g92,g34
n36,g48,g44
n42,g9,g94
n61,g77,g10
n78,g33,g89
n3,g87,g32
n29,g29,g59
n47,g1,g0
n49,g51,g43
n52,g97,g88
n59,g90,g88
n57,g93,g62
n66,g38,g61
n37,g82,g25
n13,g77,g42
n40,g7,g28
n19,g72,g66
n46,g41,g57
n7,g75,g19
n15,g25,g59
n48,g86,g70
n41,g57,g13
n76,g3,g78
n64,g82,g64
n56,g80,g53
n2,g7,g81
n1,g54,g75
