n70,g90,g77
n65,g13,g60
n6,g77,g15
n35,g67,g43
n4,g79,g23
n32,g32,g29
n72,g82,g31
n74,g5,g10
n26,g80,g64
n21,g79,g92
n60,g36,g81
n20,g23,g29
n73,g9,g73
n51,g92,g91
n69,g41,g37
n71,g57,g40
n28,g33,g66
n77,g11,g53
n14,g3,g4
n45,g58,g11
n39,g41,g63
n5,g32,g65
n23,g28,g14
n24,g70,g52
n54,g56,g62
n16,g29,g58
n17,g56,g21
n18,g16,g51
n63,g69,g95
n9,g26,g47
n25,g82,g93
n30,g52,g10
n31,g47,g73
n10,g15,g37
n43,g35,g73
n68,g41,g84
n34,g28,g44
n8,g0,g66
n79,g62,g19
n53,g49,g67
n55,g77,g50
n38,g99,g10
n33,g25,g78
n62,g26,g74
n11,g23,g64
n27,g62,g4
n50,g96,g62
n44,g60,g20
n12,g40,g30
n67,g57,g55
n75,g26,g56
n0,g56,g12
n22,g13,g8
n58,g32,g26
n36,g43,g54
n42,g39,g5
n61,g19,g92
n78,g13,g5
n3,g98,g94
n29,g7,g13
n47,g20,g58
n49,g8,g25
n52,g47,g13
n59,g63,g44
n57,g98,g49
n66,g45,g76
n37,g84,g40
n13,g78,g29
n40,g19,g71
n19,g69,g68
n46,g33,g59
n7,g89,g53
n15,g4,g9
n48,g82,g49
n41,g75,g97
n76,g84,g6
n64,g74,g29
n56,g52,g81
n2,g97,g79
n1,g85,g82
