n70,g97,g98
n65,g13,g71
n6,g67,g77
n35,g56,g59
n4,g16,g35
n32,g37,g72
n72,g9,g64
n26,g41,g30
n21,g6,g38
n60,g20,g99
n20,g44,g93
n51,g21,g45
n69,g98,g95
n71,g52,g0
n28,g31,g10
n14,g62,g17
n45,g63,g70
n39,g14,g48
n5,g70,g11
n23,g86,g38
n24,g32,g51
n54,g23,g94
n16,g46,g3
n17,g59,g9
n18,g18,g41
n63,g30,g78
n9,g66,g64
n25,g60,g47
n30,g72,g62
n31,g26,g39
n10,g46,g21
n43,g99,g92
n68,g59,g71
n34,g31,g63
n8,g78,g69
n53,g98,g11
n55,g15,g67
n38,g61,g96
n33,g95,g96
n62,g77,g81
n11,g19,g99
n27,g77,g73
n50,g51,g35
n44,g72,g50
n12,g44,g80
n67,g73,g31
n0,g79,g5
n22,g26,g45
n58,g36,g38
n36,g85,g24
n42,g65,g19
n61,g8,g55
n3,g93,g61
n29,g33,g64
n47,g73,g14
n49,g85,g56
n52,g78,g64
n59,g63,g59
n57,g20,g3
n66,g7,g9
n37,g30,g83
n13,g50,g94
n40,g14,g2
n19,g33,g6
n46,g17,g72
n7,g70,g88
n15,g33,g73
n48,g42,g92
n41,g46,g88
n64,g38,g81
n56,g99,g91
n2,g11,g4
n1,g73,g16
