n70,g92,g23
n65,g7,g83
n6,g88,g82
n35,g17,g75
n4,g42,g56
n32,g86,g42
n72,g73,g15
n74,g29,g2
n26,g5,g58
n21,g20,g92
n60,g32,g38
n20,g16,g5
n73,g12,g67
n51,g98,g61
n69,g56,g69
n71,g19,g16
n28,g83,g39
n77,g70,g67
n14,g65,g26
n45,g63,g7
n39,g64,g75
n5,g2,g45
n23,g76,g78
n24,g50,g3
n54,g20,g96
n16,g76,g17
n82,g79,g63
n17,g8,g55
n18,g86,g82
n63,g10,g62
n9,g26,g99
n25,g77,g49
n30,g81,g40
n31,g64,g67
n10,g68,g31
n43,g54,g66
n68,g77,g92
n34,g36,g85
n8,g55,g36
n79,g61,g97
n53,g91,g52
n55,g44,g78
n38,g21,g19
n33,g87,g27
n62,g78,g47
n11,g41,g36
n27,g1,g36
n50,g44,g1
n44,g57,g4
n12,g36,g72
n67,g51,g42
n75,g66,g28
n80,g58,g60
n0,g56,g84
n22,g42,g49
n81,g15,g34
n58,g63,g93
n36,g4,g48
n42,g12,g45
n61,g88,g25
n78,g67,g83
n3,g87,g64
n29,g70,g77
n47,g97,g49
n49,g84,g55
n52,g69,g30
n59,g50,g69
n57,g18,g91
n66,g78,g84
n37,g74,g18
n13,g21,g80
n40,g9,g96
n19,g46,g91
n46,g58,g88
n7,g15,g89
n15,g5,g49
n48,g15,g25
n41,g87,g44
n76,g71,g49
n64,g96,g51
n56,g6,g24
n2,g59,g57
n1,g26,g86
