n70,g19,g99
n65,g68,g91
n6,g10,g23
n35,g80,g20
n4,g93,g79
n32,g94,g67
n72,g81,g29
n74,g80,g98
n26,g93,g29
n21,g31,g12
n60,g54,g66
n20,g79,g97
n73,g44,g82
n51,g36,g64
n69,g11,g85
n71,g23,g72
n28,g22,g32
n77,g68,g66
n14,g46,g23
n45,g10,g67
n39,g36,g20
n5,g48,g20
n23,g2,g29
n24,g78,g60
n54,g15,g47
n16,g40,g3
n82,g40,g38
n17,g74,g92
n18,g52,g79
n63,g44,g52
n9,g65,g11
n25,g33,g47
n30,g46,g82
n31,g52,g97
n10,g41,g52
n43,g95,g87
n68,g26,g66
n34,g59,g53
n8,g58,g77
n79,g49,g6
n53,g13,g82
n55,g84,g64
n38,g11,g21
n33,g16,g71
n62,g29,g38
n11,g83,g55
n27,g44,g56
n50,g66,g86
n44,g61,g82
n12,g81,g89
n67,g33,g4
n75,g36,g80
n80,g65,g25
n0,g46,g87
n22,g89,g54
n81,g52,g10
n58,g41,g78
n36,g21,g23
n42,g72,g31
n61,g37,g79
n78,g80,g61
n3,g46,g79
n29,g75,g27
n47,g1,g91
n49,g9,g90
n52,g41,g2
n59,g45,g73
n57,g9,g75
n66,g20,g47
n37,g62,g93
n13,g32,g65
n40,g36,g29
n19,g11,g91
n46,g34,g58
n7,g1,g38
n15,g3,g28
n48,g83,g39
n41,g67,g41
n76,g24,g59
n64,g63,g61
n56,g7,g8
n2,g57,g88
n1,g2,g0
