n70,g10,g67
n6,g68,g92
n4,g95,g33
n22,g90,g72
n21,g92,g41
n60,g44,g69
n79,g85,g59
n74,g84,g59
n69,g9,g15
n28,g74,g10
n14,g98,g40
n45,g9,g2
n89,g24,g8
n5,g54,g71
n23,g98,g61
n24,g89,g12
n17,g25,g51
n54,g28,g75
n77,g0,g11
n63,g83,g87
n9,g34,g66
n25,g88,g68
n87,g4,g48
n10,g32,g10
n68,g81,g83
n34,g27,g65
n72,g66,g41
n73,g48,g51
n55,g69,g1
n44,g72,g30
n16,g57,g35
n80,g2,g34
n81,g29,g49
n75,g34,g39
n66,g93,g8
n47,g88,g39
n52,g38,g56
n59,g12,g29
n57,g61,g44
n71,g39,g0
n37,g93,g51
n31,g40,g39
n19,g46,g19
n46,g73,g29
n65,g53,g0
n85,g83,g3
n1,g48,g99
n84,g79,g74
n32,g87,g44
n26,g81,g34
n20,g35,g80
n53,g74,g49
n56,g56,g5
n76,g68,g9
n38,g29,g59
n13,g64,g26
n67,g50,g82
n41,g19,g77
n18,g41,g42
n11,g36,g37
n30,g91,g52
n35,g26,g89
n8,g26,g43
n83,g97,g82
n39,g98,g43
n33,g67,g19
n27,g67,g26
n50,g37,g21
n12,g28,g2
n82,g44,g49
n0,g51,g63
n43,g66,g82
n58,g88,g87
n36,g8,g44
n42,g37,g92
n61,g60,g45
n78,g58,g65
n3,g49,g20
n29,g61,g73
n49,g56,g85
n88,g5,g13
n86,g53,g21
n62,g67,g51
n40,g98,g15
n51,g4,g12
n7,g7,g99
n15,g75,g95
n48,g92,g77
n64,g21,g33
n2,g39,g2
