n70,g83,g64
n65,g17,g37
n6,g80,g12
n35,g82,g73
n4,g11,g78
n32,g40,g34
n72,g45,g21
n74,g32,g67
n26,g80,g14
n21,g56,g77
n60,g70,g91
n20,g5,g69
n73,g43,g87
n51,g85,g20
n69,g70,g67
n71,g91,g39
n28,g74,g67
n77,g66,g25
n14,g46,g93
n45,g13,g19
n39,g42,g32
n5,g33,g95
n23,g62,g41
n24,g6,g60
n54,g92,g43
n16,g72,g39
n17,g18,g7
n18,g44,g63
n63,g27,g68
n9,g64,g48
n25,g70,g4
n30,g44,g47
n31,g75,g9
n10,g11,g34
n43,g45,g77
n68,g38,g55
n34,g2,g81
n8,g57,g98
n79,g53,g11
n53,g16,g58
n55,g84,g59
n38,g29,g86
n33,g88,g68
n62,g0,g16
n11,g95,g34
n27,g20,g29
n50,g39,g8
n44,g96,g90
n12,g98,g70
n67,g93,g89
n75,g18,g66
n80,g69,g6
n0,g3,g78
n22,g21,g15
n58,g38,g4
n36,g56,g59
n42,g14,g91
n61,g31,g3
n78,g32,g84
n3,g41,g21
n29,g33,g25
n47,g26,g6
n49,g92,g14
n52,g28,g49
n59,g51,g57
n57,g88,g95
n66,g40,g19
n37,g91,g4
n13,g28,g57
n40,g45,g95
n19,g20,g71
n46,g72,g80
n7,g85,g61
n15,g52,g47
n48,g88,g73
n41,g72,g16
n76,g15,g72
n64,g48,g76
n56,g85,g24
n2,g39,g14
n1,g8,g61
