n70,g36,g79
n65,g78,g84
n6,g43,g95
n35,g7,g21
n4,g84,g7
n32,g2,g8
n72,g69,g99
n74,g87,g9
n26,g14,g34
n21,g76,g19
n60,g38,g92
n20,g30,g75
n73,g41,g74
n51,g20,g85
n69,g33,g56
n71,g2,g32
n28,g66,g70
n14,g95,g61
n45,g96,g74
n39,g85,g17
n5,g24,g94
n23,g37,g87
n24,g5,g69
n54,g84,g63
n16,g27,g50
n17,g56,g97
n18,g11,g80
n63,g4,g35
n9,g31,g22
n25,g62,g85
n30,g46,g43
n31,g61,g2
n10,g59,g42
n43,g15,g13
n68,g35,g73
n34,g45,g13
n8,g76,g55
n53,g70,g98
n55,g74,g98
n38,g9,g81
n33,g47,g12
n62,g20,g45
n11,g76,g78
n27,g14,g92
n50,g28,g69
n44,g3,g15
n12,g32,g39
n67,g49,g20
n75,g86,g96
n0,g49,g38
n22,g91,g26
n58,g81,g3
n36,g91,g57
n42,g92,g60
n61,g4,g89
n3,g25,g45
n29,g57,g82
n47,g57,g85
n49,g83,g68
n52,g14,g82
n59,g60,g65
n57,g22,g71
n66,g47,g22
n37,g10,g52
n13,g95,g47
n40,g99,g53
n19,g76,g13
n46,g38,g23
n7,g51,g43
n15,g15,g18
n48,g83,g82
n41,g72,g85
n76,g10,g14
n64,g40,g50
n56,g6,g95
n2,g78,g99
n1,g37,g0
