n70,g38,g75
n65,g64,g60
n6,g82,g96
n35,g56,g30
n4,g63,g62
n32,g99,g19
n72,g39,g18
n74,g32,g35
n26,g13,g0
n21,g71,g73
n60,g22,g30
n20,g61,g36
n73,g6,g41
n51,g64,g36
n69,g43,g61
n71,g56,g38
n28,g43,g47
n77,g89,g74
n14,g67,g3
n45,g74,g4
n39,g55,g27
n5,g17,g72
n23,g89,g16
n24,g35,g92
n54,g91,g95
n16,g37,g70
n17,g69,g34
n18,g84,g19
n63,g27,g99
n9,g82,g98
n25,g76,g6
n30,g96,g51
n31,g21,g59
n10,g27,g4
n43,g69,g56
n68,g2,g19
n34,g26,g95
n8,g73,g8
n79,g55,g71
n53,g33,g63
n55,g11,g96
n38,g79,g81
n33,g21,g35
n62,g73,g77
n11,g56,g39
n27,g59,g77
n50,g28,g52
n44,g97,g85
n12,g12,g91
n67,g62,g5
n75,g29,g76
n0,g89,g51
n22,g49,g16
n58,g28,g68
n36,g42,g41
n42,g27,g35
n61,g21,g19
n78,g95,g63
n3,g23,g69
n29,g51,g82
n47,g16,g62
n49,g60,g52
n52,g53,g68
n59,g46,g22
n57,g97,g13
n66,g95,g21
n37,g70,g74
n13,g5,g32
n40,g71,g14
n19,g33,g56
n46,g27,g50
n7,g80,g83
n15,g70,g63
n48,g49,g33
n41,g29,g98
n76,g65,g68
n64,g53,g18
n56,g85,g86
n2,g6,g74
n1,g11,g21
