n70,g71,g80
n65,g98,g54
n6,g92,g91
n35,g81,g78
n4,g83,g43
n32,g27,g5
n72,g2,g9
n74,g64,g39
n26,g52,g76
n21,g36,g30
n60,g21,g69
n20,g34,g1
n73,g99,g36
n51,g16,g79
n69,g61,g72
n71,g70,g1
n28,g84,g60
n77,g96,g15
n14,g80,g77
n45,g31,g32
n39,g83,g97
n5,g63,g96
n23,g42,g56
n24,g32,g45
n54,g99,g66
n16,g78,g59
n17,g25,g73
n18,g64,g13
n63,g79,g5
n9,g77,g87
n25,g35,g81
n30,g86,g40
n31,g43,g42
n10,g26,g71
n43,g35,g53
n68,g22,g70
n34,g35,g51
n8,g39,g63
n79,g6,g65
n53,g83,g69
n55,g19,g23
n38,g14,g10
n33,g73,g52
n62,g99,g76
n11,g49,g12
n27,g51,g50
n50,g88,g43
n44,g59,g52
n12,g29,g95
n67,g19,g37
n75,g31,g12
n0,g73,g68
n22,g76,g42
n58,g83,g11
n36,g67,g3
n42,g90,g2
n61,g72,g92
n78,g45,g11
n3,g41,g82
n29,g64,g69
n47,g76,g55
n49,g32,g81
n52,g0,g38
n59,g72,g39
n57,g62,g47
n66,g32,g13
n37,g29,g4
n13,g25,g84
n40,g73,g75
n19,g48,g21
n46,g51,g91
n7,g83,g65
n15,g43,g98
n48,g47,g34
n41,g29,g38
n76,g2,g71
n64,g44,g95
n56,g0,g54
n2,g49,g44
n1,g89,g11
