n70,g59,g68
n65,g73,g81
n6,g55,g84
n35,g44,g81
n4,g0,g47
n32,g40,g65
n26,g87,g90
n21,g3,g96
n60,g97,g59
n20,g39,g44
n51,g79,g67
n69,g84,g24
n71,g77,g33
n28,g39,g88
n14,g76,g27
n45,g82,g36
n39,g29,g55
n5,g95,g4
n23,g61,g89
n24,g43,g45
n54,g5,g32
n16,g4,g85
n17,g1,g71
n18,g56,g62
n63,g65,g60
n9,g65,g59
n25,g3,g97
n30,g87,g53
n31,g34,g52
n10,g42,g35
n43,g5,g16
n68,g9,g77
n34,g39,g55
n8,g66,g20
n53,g6,g14
n55,g97,g99
n38,g3,g42
n33,g39,g84
n62,g56,g47
n11,g99,g32
n27,g47,g70
n50,g54,g79
n44,g39,g26
n12,g83,g40
n67,g85,g98
n0,g85,g91
n22,g11,g82
n58,g92,g25
n36,g34,g66
n42,g80,g85
n61,g6,g16
n3,g11,g91
n29,g80,g60
n47,g62,g43
n49,g29,g9
n52,g51,g30
n59,g52,g70
n57,g8,g23
n66,g48,g70
n37,g66,g35
n13,g50,g56
n40,g97,g60
n19,g53,g34
n46,g5,g12
n7,g32,g54
n15,g40,g34
n48,g96,g14
n41,g72,g82
n64,g47,g76
n56,g14,g61
n2,g66,g0
n1,g17,g84
