n70,g73,g43
n65,g21,g12
n6,g93,g20
n35,g4,g54
n4,g8,g49
n32,g27,g0
n72,g95,g31
n74,g5,g97
n26,g12,g19
n21,g51,g36
n60,g50,g48
n20,g1,g15
n73,g76,g69
n51,g98,g11
n69,g86,g52
n71,g92,g90
n28,g6,g14
n77,g33,g83
n14,g27,g19
n45,g34,g92
n39,g51,g53
n5,g93,g36
n23,g39,g79
n24,g52,g30
n54,g38,g69
n16,g53,g27
n17,g45,g34
n18,g51,g57
n63,g81,g79
n9,g78,g96
n25,g41,g9
n30,g81,g32
n31,g93,g19
n10,g4,g35
n43,g16,g0
n68,g88,g58
n34,g69,g77
n8,g70,g49
n79,g33,g4
n53,g49,g65
n55,g72,g90
n38,g55,g73
n33,g38,g33
n62,g98,g99
n11,g41,g36
n27,g60,g6
n50,g69,g36
n44,g10,g95
n12,g53,g49
n67,g28,g72
n75,g6,g74
n0,g68,g86
n22,g18,g88
n58,g72,g62
n36,g7,g56
n42,g60,g41
n61,g7,g76
n78,g48,g54
n3,g22,g2
n29,g91,g72
n47,g78,g61
n49,g97,g82
n52,g18,g99
n59,g54,g14
n57,g16,g71
n66,g0,g89
n37,g66,g75
n13,g62,g48
n40,g93,g57
n19,g46,g38
n46,g78,g79
n7,g14,g99
n15,g29,g67
n48,g95,g61
n41,g0,g87
n76,g84,g52
n64,g46,g79
n56,g22,g6
n2,g78,g33
n1,g38,g87
