n70,g32,g39
n65,g64,g36
n6,g6,g23
n35,g6,g55
n4,g13,g65
n32,g30,g99
n72,g93,g34
n74,g83,g30
n26,g15,g18
n21,g47,g53
n60,g73,g67
n20,g17,g42
n73,g8,g16
n51,g35,g68
n69,g86,g60
n71,g71,g59
n28,g59,g57
n77,g86,g50
n14,g86,g15
n45,g0,g56
n39,g44,g70
n5,g63,g33
n23,g46,g0
n24,g77,g12
n54,g19,g48
n16,g19,g88
n17,g85,g28
n18,g76,g33
n63,g73,g97
n9,g3,g45
n25,g99,g70
n30,g95,g17
n31,g78,g19
n10,g9,g33
n43,g49,g50
n68,g22,g68
n34,g58,g86
n8,g75,g17
n79,g34,g43
n53,g90,g14
n55,g83,g46
n38,g12,g66
n33,g76,g72
n62,g75,g95
n11,g34,g5
n27,g83,g60
n50,g83,g1
n44,g86,g45
n12,g34,g2
n67,g26,g5
n75,g40,g1
n0,g81,g83
n22,g75,g28
n58,g90,g77
n36,g38,g32
n42,g95,g41
n61,g49,g93
n78,g43,g73
n3,g66,g26
n29,g36,g71
n47,g33,g23
n49,g39,g84
n52,g97,g5
n59,g41,g43
n57,g78,g27
n66,g58,g65
n37,g38,g97
n13,g48,g44
n40,g26,g60
n19,g36,g87
n46,g42,g61
n7,g96,g24
n15,g71,g82
n48,g66,g63
n41,g80,g52
n76,g73,g63
n64,g2,g84
n56,g87,g24
n2,g69,g87
n1,g85,g33
