0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,g1,0,0,0,0,g2,0,0,0,g3,0,0,0,0,g4,0,0
0,0,0,g5,0,0,0,0,0,0,0,0,g6,0,g7,0,0,0
0,g8,0,0,0,0,g9,0,0,0,0,0,g10,0,0,g11,0,0
0,0,g12,0,0,0,0,0,g13,0,0,0,0,0,0,0,0,0
0,g14,0,0,g15,0,0,0,0,0,g16,g17,0,0,0,0,g18,0
0,0,g19,0,0,0,0,g20,0,0,g21,0,g22,0,0,g23,0,0
0,0,0,0,0,0,g24,0,0,0,0,0,0,g25,0,0,g26,0
0,0,0,0,0,0,g27,g28,0,g29,0,g30,0,0,0,g31,0,0
0,g32,0,0,0,0,g33,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,g34,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,g35,0,0,0,0,0
0,0,g36,0,g37,0,0,g38,0,0,g39,0,0,0,0,g40,0,0
0,0,0,0,0,0,0,0,0,g41,0,0,0,g42,0,0,0,0
0,0,0,0,g43,0,g44,0,0,0,0,0,0,0,0,0,0,0
0,g45,0,0,0,0,g46,0,g47,0,0,g48,0,g49,0,0,g50,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
