n70,g3,g89
n65,g20,g76
n6,g58,g80
n35,g80,g66
n4,g8,g95
n32,g34,g77
n72,g85,g79
n26,g31,g92
n21,g99,g47
n60,g88,g84
n20,g1,g58
n73,g88,g25
n51,g0,g40
n69,g62,g0
n71,g24,g36
n28,g69,g94
n14,g65,g81
n45,g94,g5
n39,g4,g25
n5,g54,g35
n23,g85,g31
n24,g1,g43
n54,g78,g18
n16,g61,g3
n17,g26,g30
n18,g14,g97
n63,g56,g25
n9,g13,g15
n25,g66,g45
n30,g95,g42
n31,g10,g0
n10,g98,g4
n43,g79,g45
n68,g39,g75
n34,g38,g65
n8,g23,g76
n53,g22,g45
n55,g59,g15
n38,g16,g24
n33,g6,g61
n62,g36,g23
n11,g38,g45
n27,g67,g77
n50,g82,g33
n44,g94,g87
n12,g94,g98
n67,g8,g88
n0,g74,g86
n22,g75,g50
n58,g31,g78
n36,g61,g92
n42,g37,g88
n61,g16,g86
n3,g94,g23
n29,g72,g39
n47,g36,g27
n49,g72,g17
n52,g31,g44
n59,g79,g52
n57,g92,g85
n66,g51,g41
n37,g31,g26
n13,g10,g34
n40,g60,g44
n19,g70,g39
n46,g6,g20
n7,g84,g82
n15,g38,g43
n48,g79,g78
n41,g42,g71
n64,g9,g67
n56,g23,g15
n2,g45,g57
n1,g26,g40
