n0,g10,g37
n1,g77,g68
n2,g85,g0
n3,g50,g80
n4,g71,g6
n5,g72,g83
n6,g85,g2
n7,g16,g32
n8,g46,g76
n9,g19,g3
n10,g16,g80
n11,g78,g42
n12,g54,g12
n13,g68,g34
n14,g94,g66
n15,g61,g17
n16,g65,g94
n17,g33,g93
n18,g78,g90
n19,g88,g66
n20,g57,g78
n21,g29,g34
n22,g45,g91
n23,g71,g29
n24,g9,g92
n25,g51,g22
n26,g3,g7
n27,g57,g39
n28,g92,g27
n29,g93,g91
n30,g11,g30
n31,g18,g73
n32,g73,g70
n33,g43,g20
n34,g6,g87
n35,g26,g97
n36,g48,g25
n37,g64,g34
n38,g11,g21
n39,g98,g67
n40,g70,g67
n41,g88,g7
n42,g12,g73
n43,g53,g61
n44,g4,g86
n45,g71,g67
n46,g54,g14
n47,g73,g63
n48,g67,g75
n49,g41,g82
n50,g69,g59
n51,g6,g47
n52,g55,g65
n53,g9,g11
n54,g83,g16
n55,g16,g36
n56,g58,g70
n57,g11,g64
n58,g27,g53
n59,g12,g48
