n0,g89,g13
n1,g69,g54
n2,g67,g4
n3,g50,g75
n4,g75,g79
n5,g62,g39
n6,g17,g66
n7,g31,g5
n8,g15,g82
n9,g31,g96
n10,g39,g76
n11,g57,g33
n12,g38,g58
n13,g53,g33
n14,g71,g75
n15,g3,g46
n16,g58,g42
n17,g60,g67
n18,g25,g89
n19,g0,g96
n20,g26,g58
n21,g22,g60
n22,g15,g35
n23,g15,g29
n24,g93,g77
n25,g86,g0
n26,g90,g22
n27,g95,g83
n28,g82,g49
n29,g71,g66
n30,g52,g41
n31,g32,g74
n32,g60,g98
n33,g19,g18
n34,g60,g78
n35,g82,g29
n36,g74,g42
n37,g99,g90
n38,g57,g27
n39,g3,g38
n40,g76,g86
n41,g26,g97
n42,g78,g74
n43,g81,g74
n44,g45,g37
n45,g72,g91
n46,g39,g45
n47,g78,g4
n48,g77,g15
n49,g52,g42
n50,g46,g34
n51,g84,g21
n52,g40,g62
n53,g68,g19
n54,g28,g93
n55,g38,g76
n56,g80,g41
n57,g39,g22
n58,g31,g49
n59,g5,g6
