n70,g89,g9
n6,g76,g13
n4,g34,g96
n22,g32,g21
n21,g60,g43
n60,g95,g33
n79,g23,g82
n74,g63,g93
n69,g65,g47
n28,g35,g40
n14,g1,g45
n45,g43,g89
n5,g75,g97
n23,g78,g68
n24,g6,g74
n17,g18,g50
n54,g75,g90
n77,g79,g64
n63,g38,g86
n9,g73,g33
n25,g61,g42
n87,g49,g20
n10,g66,g50
n68,g9,g38
n34,g38,g93
n72,g32,g51
n73,g94,g70
n55,g8,g19
n44,g65,g82
n16,g49,g73
n80,g9,g39
n81,g55,g25
n75,g30,g47
n66,g20,g55
n47,g11,g0
n52,g94,g41
n59,g37,g51
n57,g28,g58
n71,g60,g71
n37,g29,g24
n31,g77,g66
n19,g92,g31
n46,g10,g6
n65,g28,g40
n85,g23,g55
n1,g59,g20
n84,g42,g68
n32,g40,g91
n26,g86,g98
n20,g16,g41
n53,g80,g23
n56,g51,g25
n76,g36,g61
n38,g76,g20
n13,g10,g26
n67,g60,g80
n41,g19,g76
n18,g93,g61
n11,g84,g83
n30,g90,g23
n35,g62,g90
n8,g14,g85
n83,g40,g10
n39,g58,g56
n33,g61,g99
n27,g16,g62
n50,g85,g0
n12,g83,g46
n82,g20,g50
n0,g56,g26
n43,g68,g98
n58,g74,g87
n36,g93,g21
n42,g97,g1
n61,g90,g32
n78,g98,g89
n3,g3,g45
n29,g12,g14
n49,g80,g44
n86,g97,g57
n62,g46,g55
n40,g71,g53
n51,g91,g38
n7,g22,g6
n15,g14,g62
n48,g21,g79
n64,g59,g47
n2,g13,g80
