n70,g75,g12
n65,g49,g6
n6,g20,g67
n35,g77,g92
n4,g90,g98
n32,g59,g3
n72,g28,g32
n74,g79,g42
n26,g79,g58
n21,g58,g71
n60,g79,g16
n20,g93,g2
n73,g40,g1
n51,g0,g2
n69,g9,g50
n71,g4,g66
n28,g77,g33
n77,g49,g45
n14,g53,g46
n45,g34,g14
n39,g33,g80
n5,g99,g65
n23,g74,g70
n24,g14,g85
n54,g45,g78
n16,g20,g75
n17,g34,g0
n18,g83,g36
n63,g19,g85
n9,g8,g43
n25,g76,g61
n30,g3,g41
n31,g32,g73
n10,g62,g22
n43,g11,g86
n68,g5,g78
n34,g79,g85
n8,g47,g22
n53,g77,g41
n55,g21,g40
n38,g24,g46
n33,g68,g52
n62,g81,g4
n11,g81,g42
n27,g19,g84
n50,g20,g5
n44,g95,g89
n12,g50,g26
n67,g4,g26
n75,g17,g74
n0,g51,g58
n22,g41,g87
n58,g90,g47
n36,g85,g4
n42,g65,g19
n61,g83,g65
n3,g86,g68
n29,g12,g47
n47,g97,g56
n49,g76,g56
n52,g7,g82
n59,g88,g85
n57,g98,g72
n66,g29,g58
n37,g30,g67
n13,g58,g76
n40,g86,g98
n19,g47,g53
n46,g62,g46
n7,g60,g46
n15,g15,g3
n48,g23,g27
n41,g80,g59
n76,g34,g40
n64,g66,g30
n56,g9,g18
n2,g91,g17
n1,g59,g61
