n70,g20,g43
n65,g6,g80
n6,g83,g84
n35,g9,g62
n4,g8,g75
n32,g37,g27
n72,g22,g70
n74,g21,g11
n26,g72,g44
n21,g34,g0
n60,g94,g58
n20,g71,g38
n73,g61,g4
n51,g91,g47
n69,g42,g10
n71,g14,g5
n28,g88,g31
n77,g35,g93
n14,g45,g47
n45,g23,g56
n39,g67,g90
n5,g54,g20
n23,g58,g87
n24,g87,g18
n54,g66,g7
n16,g63,g51
n17,g78,g22
n18,g67,g37
n63,g5,g94
n9,g69,g3
n25,g37,g84
n30,g43,g30
n31,g17,g61
n10,g75,g25
n43,g80,g49
n68,g0,g84
n34,g30,g4
n8,g70,g99
n79,g48,g38
n53,g54,g28
n55,g89,g34
n38,g63,g77
n33,g58,g42
n62,g36,g42
n11,g25,g72
n27,g63,g31
n50,g69,g32
n44,g93,g37
n12,g86,g92
n67,g89,g16
n75,g11,g91
n0,g39,g56
n22,g9,g22
n58,g58,g66
n36,g25,g40
n42,g66,g73
n61,g67,g15
n78,g2,g40
n3,g76,g73
n29,g63,g32
n47,g81,g99
n49,g52,g3
n52,g33,g87
n59,g19,g55
n57,g95,g52
n66,g42,g29
n37,g2,g87
n13,g6,g10
n40,g47,g89
n19,g37,g51
n46,g93,g21
n7,g95,g88
n15,g49,g68
n48,g83,g8
n41,g63,g83
n76,g84,g92
n64,g8,g21
n56,g23,g28
n2,g54,g10
n1,g12,g96
