n70,g46,g64
n65,g2,g69
n6,g20,g51
n35,g54,g37
n4,g4,g24
n32,g0,g48
n26,g76,g94
n21,g79,g44
n60,g5,g77
n20,g65,g50
n51,g64,g63
n69,g52,g21
n71,g61,g72
n28,g30,g58
n14,g72,g51
n45,g8,g39
n39,g28,g22
n5,g56,g65
n23,g60,g24
n24,g23,g21
n54,g9,g71
n16,g41,g14
n17,g4,g44
n18,g70,g77
n63,g18,g85
n9,g78,g75
n25,g83,g30
n30,g33,g11
n31,g99,g28
n10,g89,g72
n43,g20,g73
n68,g30,g57
n34,g59,g38
n8,g95,g67
n53,g38,g47
n55,g98,g16
n38,g20,g15
n33,g15,g88
n62,g31,g78
n11,g69,g70
n27,g69,g22
n50,g9,g73
n44,g65,g1
n12,g84,g24
n67,g80,g95
n0,g76,g27
n22,g70,g9
n58,g59,g88
n36,g76,g0
n42,g91,g38
n61,g82,g57
n3,g64,g69
n29,g31,g5
n47,g22,g71
n49,g15,g38
n52,g43,g83
n59,g78,g22
n57,g86,g18
n66,g28,g90
n37,g57,g67
n13,g17,g56
n40,g47,g3
n19,g61,g45
n46,g27,g41
n7,g62,g72
n15,g7,g33
n48,g54,g34
n41,g44,g81
n64,g32,g79
n56,g84,g52
n2,g38,g76
n1,g94,g18
