n70,g73,g16
n65,g47,g21
n6,g97,g6
n35,g5,g4
n4,g48,g95
n32,g9,g99
n72,g9,g5
n74,g53,g87
n26,g3,g72
n21,g63,g40
n60,g32,g52
n20,g49,g71
n73,g21,g62
n51,g22,g70
n69,g77,g50
n71,g16,g27
n28,g75,g21
n14,g63,g43
n45,g70,g97
n39,g83,g6
n5,g12,g97
n23,g79,g93
n24,g78,g29
n54,g55,g70
n16,g50,g44
n17,g5,g26
n18,g93,g17
n63,g87,g51
n9,g17,g79
n25,g33,g79
n30,g20,g35
n31,g49,g82
n10,g1,g11
n43,g13,g74
n68,g17,g98
n34,g79,g41
n8,g1,g98
n53,g6,g93
n55,g68,g14
n38,g15,g77
n33,g7,g14
n62,g82,g64
n11,g61,g99
n27,g10,g99
n50,g71,g26
n44,g27,g59
n12,g36,g30
n67,g93,g54
n75,g7,g31
n0,g17,g52
n22,g97,g85
n58,g85,g2
n36,g30,g67
n42,g74,g26
n61,g87,g73
n3,g27,g66
n29,g65,g27
n47,g8,g47
n49,g48,g76
n52,g86,g44
n59,g22,g69
n57,g41,g4
n66,g2,g65
n37,g71,g58
n13,g9,g57
n40,g7,g67
n19,g46,g18
n46,g70,g99
n7,g98,g78
n15,g88,g51
n48,g79,g65
n41,g31,g65
n76,g57,g46
n64,g70,g67
n56,g5,g75
n2,g63,g80
n1,g0,g61
