n70,g14,g62
n65,g96,g88
n6,g13,g30
n35,g61,g77
n4,g3,g18
n32,g38,g29
n72,g67,g61
n26,g24,g20
n21,g50,g71
n60,g25,g69
n20,g17,g64
n51,g60,g48
n69,g20,g98
n71,g68,g65
n28,g99,g28
n14,g97,g90
n45,g84,g34
n39,g27,g74
n5,g56,g24
n23,g50,g10
n24,g6,g57
n54,g77,g9
n16,g29,g22
n17,g26,g11
n18,g61,g89
n63,g1,g85
n9,g54,g0
n25,g50,g48
n30,g75,g0
n31,g56,g20
n10,g57,g78
n43,g45,g90
n68,g93,g37
n34,g97,g23
n8,g2,g3
n53,g45,g83
n55,g24,g46
n38,g10,g87
n33,g97,g59
n62,g59,g12
n11,g43,g8
n27,g25,g90
n50,g36,g83
n44,g98,g3
n12,g40,g1
n67,g3,g67
n0,g10,g6
n22,g25,g47
n58,g72,g94
n36,g32,g56
n42,g61,g52
n61,g1,g64
n3,g38,g97
n29,g93,g30
n47,g57,g66
n49,g76,g67
n52,g72,g45
n59,g97,g61
n57,g69,g33
n66,g87,g38
n37,g88,g30
n13,g41,g34
n40,g96,g14
n19,g81,g69
n46,g27,g79
n7,g20,g74
n15,g13,g34
n48,g28,g25
n41,g21,g27
n64,g72,g24
n56,g5,g65
n2,g95,g33
n1,g72,g31
