n70,g98,g73
n65,g35,g99
n6,g47,g29
n35,g37,g78
n4,g81,g64
n32,g63,g8
n72,g97,g64
n26,g62,g60
n21,g60,g85
n60,g85,g88
n20,g61,g46
n51,g40,g99
n69,g62,g35
n71,g24,g78
n28,g75,g1
n14,g66,g48
n45,g17,g18
n39,g57,g79
n5,g1,g7
n23,g71,g82
n24,g88,g50
n54,g34,g78
n16,g7,g69
n17,g44,g8
n18,g84,g36
n63,g51,g2
n9,g18,g10
n25,g84,g62
n30,g89,g34
n31,g17,g92
n10,g53,g43
n43,g66,g90
n68,g75,g81
n34,g70,g15
n8,g31,g74
n53,g37,g50
n55,g87,g6
n38,g65,g38
n33,g50,g15
n62,g42,g97
n11,g87,g45
n27,g24,g41
n50,g57,g38
n44,g45,g21
n12,g86,g14
n67,g77,g59
n0,g43,g52
n22,g9,g81
n58,g18,g56
n36,g84,g71
n42,g24,g26
n61,g60,g54
n3,g57,g17
n29,g51,g89
n47,g11,g27
n49,g45,g41
n52,g35,g5
n59,g10,g64
n57,g56,g53
n66,g96,g20
n37,g92,g64
n13,g19,g60
n40,g21,g2
n19,g63,g62
n46,g21,g59
n7,g44,g3
n15,g54,g18
n48,g95,g23
n41,g92,g18
n64,g77,g41
n56,g48,g80
n2,g45,g80
n1,g43,g46
