n70,g81,g33
n65,g46,g81
n6,g10,g81
n35,g21,g47
n4,g52,g35
n32,g73,g44
n72,g73,g28
n26,g26,g51
n21,g13,g18
n60,g72,g31
n20,g82,g4
n51,g85,g74
n69,g51,g46
n71,g40,g14
n28,g80,g27
n14,g29,g1
n45,g83,g62
n39,g13,g76
n5,g8,g75
n23,g63,g88
n24,g3,g64
n54,g60,g11
n16,g39,g64
n17,g9,g44
n18,g61,g81
n63,g99,g33
n9,g97,g96
n25,g92,g27
n30,g45,g77
n31,g29,g37
n10,g16,g62
n43,g31,g17
n68,g87,g97
n34,g17,g44
n8,g80,g99
n53,g76,g49
n55,g58,g41
n38,g13,g25
n33,g24,g47
n62,g63,g99
n11,g71,g0
n27,g63,g23
n50,g45,g63
n44,g39,g97
n12,g32,g18
n67,g68,g75
n0,g41,g18
n22,g76,g54
n58,g8,g89
n36,g13,g15
n42,g80,g9
n61,g74,g82
n3,g11,g25
n29,g67,g46
n47,g89,g25
n49,g97,g31
n52,g17,g75
n59,g41,g21
n57,g61,g23
n66,g58,g36
n37,g87,g36
n13,g12,g52
n40,g11,g36
n19,g63,g14
n46,g91,g59
n7,g59,g50
n15,g3,g62
n48,g96,g84
n41,g33,g61
n64,g74,g75
n56,g96,g47
n2,g3,g99
n1,g56,g19
