n0,g49,g80
n1,g33,g86
n2,g97,g66
n3,g73,g45
n4,g5,g81
n5,g82,g16
n6,g12,g68
n7,g71,g57
n8,g91,g28
n9,g42,g7
n10,g24,g65
n11,g98,g16
n12,g54,g16
n13,g72,g17
n14,g24,g63
n15,g47,g92
n16,g51,g57
n17,g10,g36
n18,g51,g55
n19,g85,g14
n20,g46,g44
n21,g85,g11
n22,g70,g20
n23,g66,g35
n24,g98,g73
n25,g8,g66
n26,g46,g53
n27,g59,g24
n28,g95,g38
n29,g48,g64
n30,g45,g4
n31,g26,g87
n32,g68,g96
n33,g66,g17
n34,g94,g25
n35,g18,g49
n36,g89,g87
n37,g18,g8
n38,g83,g54
n39,g72,g97
n40,g92,g50
n41,g44,g3
n42,g20,g95
n43,g47,g42
n44,g51,g45
n45,g86,g62
n46,g7,g4
n47,g41,g4
n48,g77,g21
n49,g12,g36
