n70,g99,g59
n6,g21,g8
n4,g66,g63
n22,g15,g35
n21,g26,g5
n60,g94,g35
n79,g19,g92
n74,g11,g97
n69,g29,g15
n28,g42,g62
n14,g20,g86
n45,g21,g44
n89,g67,g79
n5,g58,g5
n23,g70,g53
n24,g21,g37
n17,g30,g99
n54,g64,g31
n77,g42,g23
n63,g33,g6
n9,g34,g22
n25,g21,g71
n87,g71,g28
n10,g70,g94
n68,g10,g1
n34,g90,g30
n72,g60,g40
n73,g33,g91
n55,g97,g9
n44,g11,g5
n16,g46,g72
n80,g69,g34
n81,g68,g42
n75,g71,g65
n66,g69,g43
n47,g14,g46
n52,g51,g89
n59,g88,g58
n57,g55,g35
n71,g86,g25
n37,g67,g64
n31,g87,g67
n19,g63,g80
n46,g92,g48
n65,g27,g23
n85,g55,g37
n1,g39,g73
n84,g71,g64
n32,g13,g12
n26,g86,g72
n20,g12,g61
n53,g31,g50
n56,g94,g88
n76,g19,g52
n38,g38,g68
n13,g83,g57
n67,g69,g38
n41,g55,g40
n18,g51,g47
n11,g32,g1
n30,g1,g4
n35,g8,g22
n8,g23,g2
n83,g70,g95
n39,g27,g86
n33,g4,g24
n27,g52,g61
n50,g45,g24
n12,g26,g44
n82,g5,g79
n0,g56,g22
n43,g8,g50
n58,g9,g67
n36,g80,g55
n42,g40,g57
n61,g60,g38
n78,g46,g10
n3,g94,g97
n29,g50,g22
n49,g64,g13
n88,g24,g47
n86,g30,g33
n62,g55,g22
n40,g59,g68
n51,g35,g8
n7,g91,g7
n15,g57,g1
n48,g85,g27
n64,g4,g79
n2,g9,g44
