n70,g39,g6
n6,g82,g51
n4,g32,g16
n22,g1,g64
n21,g48,g86
n60,g30,g87
n79,g95,g74
n74,g11,g22
n69,g37,g52
n28,g68,g89
n14,g74,g96
n45,g21,g11
n89,g42,g78
n5,g40,g53
n23,g86,g80
n24,g18,g2
n17,g21,g42
n54,g19,g70
n77,g12,g91
n63,g18,g20
n9,g16,g14
n25,g36,g56
n87,g43,g56
n10,g13,g46
n68,g66,g86
n34,g71,g35
n72,g52,g45
n73,g71,g5
n55,g49,g1
n44,g63,g24
n16,g92,g31
n80,g22,g91
n81,g64,g37
n75,g65,g46
n66,g86,g99
n47,g68,g75
n52,g48,g69
n59,g62,g79
n57,g45,g96
n71,g53,g13
n37,g85,g58
n31,g17,g61
n19,g99,g51
n46,g28,g67
n65,g48,g14
n85,g3,g19
n1,g51,g18
n84,g5,g84
n32,g50,g94
n26,g30,g80
n20,g80,g96
n53,g62,g14
n56,g98,g0
n76,g28,g56
n38,g81,g72
n13,g88,g53
n67,g85,g19
n41,g13,g9
n18,g9,g34
n11,g58,g93
n30,g26,g92
n35,g35,g98
n8,g37,g29
n83,g78,g90
n39,g2,g32
n33,g0,g10
n27,g53,g99
n50,g77,g87
n12,g1,g4
n82,g27,g35
n0,g31,g77
n43,g41,g92
n58,g43,g47
n36,g13,g95
n42,g38,g15
n61,g84,g85
n78,g79,g95
n3,g45,g19
n29,g80,g31
n49,g92,g59
n88,g27,g89
n86,g65,g47
n62,g74,g1
n40,g49,g60
n51,g16,g22
n7,g86,g96
n15,g88,g69
n48,g23,g60
n64,g93,g18
n2,g76,g9
