n0,g93,g21
n1,g13,g46
n2,g47,g29
n3,g37,g61
n4,g21,g70
n5,g47,g86
n6,g30,g73
n7,g13,g79
n8,g29,g8
n9,g76,g28
n10,g75,g64
n11,g66,g74
n12,g58,g30
n13,g26,g17
n14,g21,g39
n15,g72,g30
n16,g61,g15
n17,g26,g40
n18,g76,g97
n19,g63,g18
n20,g76,g64
n21,g34,g78
n22,g98,g47
n23,g28,g6
n24,g27,g17
n25,g85,g90
n26,g27,g15
n27,g95,g32
n28,g57,g43
n29,g52,g47
n30,g71,g18
n31,g26,g84
n32,g60,g35
n33,g14,g69
n34,g5,g78
n35,g1,g0
n36,g37,g46
n37,g33,g36
n38,g68,g55
n39,g37,g60
n40,g78,g24
n41,g13,g58
n42,g11,g26
n43,g46,g34
n44,g8,g96
n45,g68,g98
n46,g94,g56
n47,g97,g95
n48,g53,g0
n49,g80,g39
n50,g11,g27
n51,g55,g99
n52,g37,g80
n53,g40,g58
n54,g92,g36
n55,g23,g91
n56,g23,g40
n57,g2,g77
n58,g92,g33
n59,g30,g93
n60,g5,g45
n61,g68,g93
n62,g47,g42
n63,g23,g36
n64,g50,g59
n65,g1,g9
n66,g29,g30
n67,g38,g65
n68,g11,g25
n69,g16,g3
n70,g46,g3
n71,g63,g14
n72,g40,g31
n73,g70,g17
n74,g98,g69
n75,g52,g0
n76,g63,g60
n77,g34,g13
n78,g9,g33
n79,g61,g1
