n70,g19,g82
n65,g53,g33
n6,g73,g8
n35,g20,g63
n4,g86,g40
n32,g52,g73
n72,g77,g24
n74,g45,g16
n26,g82,g16
n21,g83,g22
n60,g30,g83
n20,g16,g42
n73,g30,g70
n51,g3,g11
n69,g88,g64
n71,g51,g21
n28,g25,g7
n77,g3,g46
n14,g99,g41
n45,g72,g58
n39,g73,g43
n5,g42,g3
n23,g67,g22
n24,g53,g91
n54,g45,g17
n16,g41,g1
n17,g73,g97
n18,g85,g81
n63,g96,g98
n9,g83,g72
n25,g80,g90
n30,g45,g14
n31,g25,g5
n10,g29,g46
n43,g53,g66
n68,g13,g89
n34,g50,g35
n8,g89,g80
n53,g64,g94
n55,g46,g79
n38,g88,g34
n33,g54,g52
n62,g77,g55
n11,g25,g58
n27,g5,g81
n50,g85,g32
n44,g94,g76
n12,g69,g88
n67,g12,g75
n75,g21,g47
n0,g56,g81
n22,g97,g30
n58,g74,g72
n36,g32,g19
n42,g51,g91
n61,g76,g87
n78,g42,g12
n3,g36,g65
n29,g82,g66
n47,g87,g39
n49,g82,g7
n52,g92,g47
n59,g10,g60
n57,g99,g16
n66,g33,g97
n37,g21,g27
n13,g28,g59
n40,g81,g26
n19,g57,g67
n46,g64,g58
n7,g32,g55
n15,g20,g56
n48,g77,g4
n41,g53,g16
n76,g34,g78
n64,g67,g7
n56,g12,g95
n2,g9,g86
n1,g68,g27
