n70,g77,g43
n65,g27,g74
n6,g20,g63
n35,g61,g76
n4,g51,g25
n32,g92,g30
n72,g39,g51
n74,g14,g63
n26,g32,g34
n21,g65,g80
n60,g71,g15
n20,g54,g29
n73,g99,g0
n51,g80,g97
n69,g6,g24
n71,g57,g41
n28,g88,g28
n77,g61,g79
n14,g38,g9
n45,g6,g95
n39,g85,g64
n5,g23,g96
n23,g37,g44
n24,g1,g97
n54,g3,g82
n16,g70,g19
n17,g63,g49
n18,g93,g28
n63,g11,g28
n9,g16,g12
n25,g43,g10
n30,g1,g76
n31,g45,g74
n10,g90,g81
n43,g28,g67
n68,g47,g78
n34,g99,g19
n8,g63,g4
n53,g63,g70
n55,g88,g22
n38,g69,g79
n33,g88,g44
n62,g40,g28
n11,g18,g61
n27,g79,g59
n50,g2,g98
n44,g71,g1
n12,g98,g86
n67,g73,g36
n75,g9,g35
n0,g16,g29
n22,g25,g24
n58,g29,g31
n36,g49,g15
n42,g88,g60
n61,g47,g42
n78,g64,g74
n3,g64,g4
n29,g49,g91
n47,g66,g24
n49,g20,g37
n52,g29,g18
n59,g32,g94
n57,g31,g68
n66,g68,g52
n37,g10,g42
n13,g21,g48
n40,g8,g81
n19,g24,g37
n46,g18,g96
n7,g25,g34
n15,g16,g74
n48,g69,g31
n41,g46,g14
n76,g56,g71
n64,g38,g52
n56,g79,g18
n2,g45,g35
n1,g26,g81
