n0,g40,g62
n1,g89,g75
n2,g9,g54
n3,g44,g59
n4,g59,g9
n5,g82,g27
n6,g88,g20
n7,g86,g77
n8,g0,g71
n9,g60,g39
n10,g64,g69
n11,g96,g34
n12,g22,g36
n13,g1,g91
n14,g74,g24
n15,g58,g79
n16,g18,g3
n17,g64,g96
n18,g18,g39
n19,g20,g61
n20,g54,g86
n21,g26,g52
n22,g48,g6
n23,g95,g43
n24,g9,g36
n25,g19,g12
n26,g77,g63
n27,g99,g4
n28,g95,g48
n29,g4,g2
n30,g34,g92
n31,g69,g79
n32,g86,g44
n33,g79,g13
n34,g72,g82
n35,g65,g49
n36,g63,g84
n37,g39,g1
n38,g88,g64
n39,g32,g82
n40,g8,g43
n41,g16,g24
n42,g46,g69
n43,g82,g63
n44,g89,g90
n45,g61,g42
n46,g70,g5
n47,g23,g30
n48,g16,g81
n49,g28,g78
