n0,g2,g91
n1,g13,g32
n2,g33,g64
n3,g88,g47
n4,g97,g43
n5,g68,g42
n6,g84,g46
n7,g35,g78
n8,g31,g74
n9,g73,g93
n10,g15,g82
n11,g97,g15
n12,g45,g99
n13,g7,g88
n14,g64,g12
n15,g19,g36
n16,g65,g73
n17,g45,g19
n18,g61,g24
n19,g79,g37
n20,g54,g78
n21,g57,g23
n22,g72,g61
n23,g68,g19
n24,g37,g85
n25,g52,g6
n26,g65,g16
n27,g37,g10
n28,g80,g73
n29,g5,g29
n30,g66,g55
n31,g63,g29
n32,g35,g52
n33,g4,g32
n34,g97,g5
n35,g49,g1
n36,g8,g9
n37,g5,g76
n38,g58,g29
n39,g56,g64
n40,g21,g19
n41,g10,g64
n42,g58,g18
n43,g70,g63
n44,g8,g99
n45,g65,g20
n46,g74,g82
n47,g54,g10
n48,g45,g75
n49,g11,g2
n50,g88,g40
n51,g17,g80
n52,g63,g36
n53,g85,g78
n54,g61,g84
n55,g75,g68
n56,g49,g36
n57,g39,g98
n58,g16,g70
n59,g90,g62
n60,g0,g29
n61,g61,g50
n62,g11,g1
n63,g39,g72
n64,g20,g37
n65,g8,g64
n66,g37,g43
n67,g27,g74
n68,g25,g17
n69,g58,g74
n70,g74,g20
n71,g76,g34
n72,g44,g62
n73,g50,g3
n74,g27,g38
n75,g68,g47
n76,g30,g49
n77,g32,g49
n78,g30,g50
n79,g38,g50
n80,g42,g7
n81,g25,g81
n82,g89,g47
n83,g19,g95
n84,g48,g90
n85,g40,g47
n86,g38,g76
n87,g91,g0
n88,g4,g42
n89,g12,g77
n90,g71,g75
n91,g41,g21
n92,g31,g25
n93,g54,g6
n94,g63,g8
n95,g13,g16
n96,g32,g17
n97,g69,g31
n98,g69,g39
n99,g7,g92
