n0,g25,g9
n1,g29,g75
n2,g28,g24
n3,g36,g68
n4,g62,g85
n5,g2,g54
n6,g67,g99
n7,g87,g88
n8,g69,g83
n9,g53,g18
n10,g99,g59
n11,g21,g75
n12,g21,g63
n13,g41,g97
n14,g70,g29
n15,g44,g65
n16,g95,g49
n17,g80,g96
n18,g2,g44
n19,g12,g81
n20,g10,g26
n21,g66,g27
n22,g97,g17
n23,g79,g36
n24,g96,g30
n25,g31,g59
n26,g66,g58
n27,g88,g20
n28,g28,g78
n29,g8,g19
n30,g47,g2
n31,g34,g61
n32,g74,g31
n33,g86,g7
n34,g49,g83
n35,g8,g41
n36,g28,g77
n37,g3,g76
n38,g97,g63
n39,g82,g24
n40,g75,g61
n41,g26,g0
n42,g95,g93
n43,g88,g14
n44,g43,g71
n45,g19,g96
n46,g39,g44
n47,g84,g24
n48,g51,g46
n49,g41,g70
n50,g41,g62
n51,g46,g15
n52,g50,g70
n53,g38,g21
n54,g2,g85
n55,g91,g89
n56,g27,g21
n57,g51,g69
n58,g57,g68
n59,g52,g83
n60,g38,g79
n61,g67,g97
n62,g4,g89
n63,g50,g31
n64,g83,g91
n65,g37,g40
n66,g93,g94
n67,g35,g95
n68,g19,g12
n69,g7,g94
n70,g94,g0
n71,g56,g95
n72,g72,g22
n73,g50,g1
n74,g38,g19
n75,g75,g65
n76,g93,g13
n77,g6,g33
n78,g7,g95
n79,g38,g27
n80,g46,g94
n81,g10,g30
n82,g15,g11
n83,g0,g11
n84,g90,g31
n85,g69,g56
n86,g40,g12
n87,g52,g38
n88,g16,g10
n89,g53,g58
n90,g36,g34
n91,g56,g12
n92,g99,g57
n93,g71,g10
n94,g31,g40
n95,g80,g35
n96,g13,g7
n97,g74,g50
n98,g89,g11
n99,g43,g93
