n0,g72,g13
n1,g92,g93
n2,g49,g60
n3,g42,g64
n4,g4,g46
n5,g11,g39
n6,g52,g74
n7,g36,g15
n8,g9,g43
n9,g21,g84
n10,g50,g91
n11,g77,g1
n12,g83,g57
n13,g75,g38
n14,g36,g63
n15,g31,g47
n16,g24,g7
n17,g44,g70
n18,g54,g15
n19,g58,g53
n20,g12,g53
n21,g70,g92
n22,g86,g75
n23,g29,g88
n24,g64,g96
n25,g33,g7
n26,g48,g3
n27,g68,g35
n28,g12,g76
n29,g20,g35
n30,g30,g9
n31,g26,g23
n32,g29,g68
n33,g4,g1
n34,g46,g6
n35,g54,g82
n36,g11,g6
n37,g79,g72
n38,g10,g50
n39,g53,g9
n40,g55,g43
n41,g10,g67
n42,g85,g69
n43,g29,g72
n44,g46,g58
n45,g14,g34
n46,g34,g80
n47,g64,g82
n48,g34,g60
n49,g99,g39
n50,g73,g85
n51,g44,g74
n52,g71,g50
n53,g91,g59
n54,g49,g72
n55,g0,g20
n56,g3,g7
n57,g46,g50
n58,g68,g47
n59,g52,g38
n60,g56,g27
n61,g79,g66
n62,g11,g19
n63,g68,g31
n64,g10,g16
n65,g44,g31
n66,g70,g49
n67,g93,g31
n68,g79,g28
n69,g61,g28
n70,g8,g94
n71,g1,g7
n72,g30,g19
n73,g94,g79
n74,g82,g27
n75,g40,g16
n76,g3,g33
n77,g45,g61
n78,g3,g40
n79,g24,g47
n80,g38,g55
n81,g74,g45
n82,g83,g7
n83,g17,g77
n84,g35,g4
n85,g0,g66
n86,g55,g53
n87,g76,g11
n88,g55,g49
n89,g83,g58
n90,g11,g37
n91,g38,g91
n92,g18,g19
n93,g27,g69
n94,g84,g61
n95,g8,g39
n96,g38,g94
n97,g75,g57
n98,g13,g45
n99,g65,g16
