n0,g43,g54
n1,g14,g91
n2,g15,g21
n3,g81,g68
n4,g62,g51
n5,g9,g55
n6,g49,g34
n7,g95,g87
n8,g51,g88
n9,g2,g82
n10,g40,g74
n11,g17,g46
n12,g3,g49
n13,g82,g47
n14,g3,g4
n15,g20,g55
n16,g89,g86
n17,g88,g69
n18,g26,g3
n19,g38,g6
n20,g76,g39
n21,g24,g52
n22,g83,g21
n23,g58,g94
n24,g48,g62
n25,g52,g13
n26,g64,g80
n27,g62,g86
n28,g6,g39
n29,g85,g35
n30,g82,g52
n31,g84,g93
n32,g17,g23
n33,g2,g17
n34,g2,g69
n35,g27,g87
n36,g57,g80
n37,g65,g99
n38,g16,g33
n39,g2,g26
n40,g81,g19
n41,g0,g73
n42,g51,g94
n43,g99,g89
n44,g46,g11
n45,g49,g35
n46,g15,g61
n47,g58,g5
n48,g40,g60
n49,g80,g14
n50,g40,g10
n51,g69,g50
n52,g99,g21
n53,g58,g33
n54,g37,g50
n55,g56,g19
n56,g78,g50
n57,g1,g65
n58,g81,g55
n59,g64,g97
n60,g10,g61
n61,g10,g75
n62,g66,g84
n63,g65,g59
n64,g29,g55
n65,g75,g79
n66,g58,g76
n67,g47,g56
n68,g84,g23
n69,g66,g98
n70,g69,g70
n71,g60,g52
n72,g78,g4
n73,g70,g14
n74,g99,g84
n75,g92,g37
n76,g12,g20
n77,g14,g23
n78,g7,g75
n79,g66,g12
n80,g96,g63
n81,g27,g57
n82,g8,g6
n83,g49,g36
n84,g32,g36
n85,g0,g94
n86,g27,g32
n87,g27,g10
n88,g91,g67
n89,g49,g45
n90,g44,g8
n91,g58,g90
n92,g92,g95
n93,g56,g72
n94,g78,g82
n95,g53,g32
n96,g0,g60
n97,g5,g53
n98,g88,g61
n99,g33,g43
