n70,g71,g52
n65,g67,g75
n6,g32,g42
n35,g21,g24
n4,g93,g30
n32,g8,g55
n26,g69,g23
n21,g37,g12
n60,g6,g59
n20,g62,g46
n51,g42,g28
n69,g48,g65
n28,g0,g81
n14,g78,g92
n45,g25,g63
n39,g9,g38
n5,g53,g33
n23,g46,g26
n24,g7,g92
n54,g98,g66
n16,g97,g13
n17,g56,g20
n18,g9,g27
n63,g48,g17
n9,g64,g34
n25,g61,g41
n30,g7,g59
n31,g85,g70
n10,g27,g43
n43,g14,g12
n68,g61,g60
n34,g72,g33
n8,g69,g54
n53,g74,g66
n55,g70,g56
n38,g10,g97
n33,g1,g16
n62,g17,g76
n11,g79,g24
n27,g26,g60
n50,g28,g62
n44,g86,g14
n12,g91,g48
n67,g80,g3
n0,g8,g82
n22,g35,g46
n58,g82,g40
n36,g29,g17
n42,g10,g41
n61,g59,g81
n3,g92,g54
n29,g94,g62
n47,g81,g14
n49,g52,g66
n52,g31,g46
n59,g36,g69
n57,g37,g77
n66,g94,g30
n37,g30,g4
n13,g25,g77
n40,g37,g55
n19,g74,g87
n46,g11,g42
n7,g66,g24
n15,g68,g41
n48,g69,g80
n41,g65,g6
n64,g69,g14
n56,g37,g33
n2,g6,g46
n1,g76,g66
