n70,g67,g69
n65,g95,g4
n6,g99,g38
n35,g71,g94
n4,g13,g32
n32,g55,g46
n26,g5,g15
n21,g13,g97
n60,g94,g52
n20,g14,g1
n51,g1,g50
n69,g62,g12
n28,g37,g21
n14,g47,g55
n45,g32,g77
n39,g49,g16
n5,g32,g91
n23,g39,g94
n24,g29,g15
n54,g93,g49
n16,g25,g28
n17,g36,g71
n18,g48,g20
n63,g50,g42
n9,g10,g25
n25,g29,g54
n30,g74,g67
n31,g86,g27
n10,g75,g25
n43,g88,g17
n68,g18,g45
n34,g59,g97
n8,g23,g84
n53,g7,g34
n55,g81,g36
n38,g11,g76
n33,g60,g99
n62,g64,g65
n11,g9,g18
n27,g58,g42
n50,g63,g32
n44,g68,g54
n12,g82,g88
n67,g64,g87
n0,g70,g49
n22,g27,g29
n58,g82,g32
n36,g17,g86
n42,g8,g79
n61,g64,g34
n3,g62,g7
n29,g23,g53
n47,g42,g3
n49,g51,g26
n52,g2,g95
n59,g24,g29
n57,g49,g27
n66,g79,g2
n37,g76,g46
n13,g80,g15
n40,g23,g17
n19,g64,g39
n46,g71,g84
n7,g3,g34
n15,g91,g6
n48,g82,g86
n41,g41,g76
n64,g1,g88
n56,g90,g65
n2,g60,g96
n1,g65,g75
