n70,g23,g81
n65,g31,g29
n6,g49,g50
n35,g6,g9
n4,g31,g11
n32,g36,g55
n72,g29,g66
n26,g91,g15
n21,g6,g96
n60,g13,g12
n20,g7,g39
n51,g92,g89
n69,g0,g37
n71,g46,g51
n28,g56,g87
n14,g58,g76
n45,g68,g57
n39,g25,g53
n5,g87,g65
n23,g46,g58
n24,g28,g13
n54,g21,g48
n16,g79,g50
n17,g35,g95
n18,g38,g99
n63,g55,g59
n9,g88,g71
n25,g6,g18
n30,g2,g51
n31,g61,g11
n10,g94,g10
n43,g70,g48
n68,g38,g39
n34,g55,g31
n8,g7,g48
n53,g97,g37
n55,g50,g14
n38,g27,g5
n33,g52,g37
n62,g87,g16
n11,g0,g33
n27,g56,g84
n50,g72,g20
n44,g58,g33
n12,g12,g79
n67,g18,g0
n0,g69,g6
n22,g37,g95
n58,g73,g45
n36,g42,g0
n42,g70,g34
n61,g52,g71
n3,g93,g58
n29,g6,g52
n47,g16,g21
n49,g82,g22
n52,g21,g12
n59,g2,g96
n57,g70,g71
n66,g1,g26
n37,g37,g28
n13,g73,g91
n40,g40,g79
n19,g5,g26
n46,g73,g49
n7,g51,g52
n15,g22,g70
n48,g28,g85
n41,g68,g67
n64,g32,g79
n56,g9,g55
n2,g32,g69
n1,g87,g44
