n70,g71,g8
n65,g30,g45
n6,g46,g11
n35,g45,g21
n4,g80,g93
n32,g41,g98
n72,g65,g98
n74,g23,g1
n26,g27,g14
n21,g21,g96
n60,g92,g46
n20,g10,g89
n73,g3,g99
n51,g9,g12
n69,g21,g29
n71,g25,g52
n28,g5,g88
n77,g82,g54
n14,g16,g3
n45,g60,g11
n39,g2,g74
n5,g15,g16
n23,g92,g28
n24,g0,g29
n54,g22,g29
n16,g27,g54
n17,g52,g37
n18,g90,g9
n63,g95,g79
n9,g1,g35
n25,g88,g25
n30,g15,g67
n31,g84,g13
n10,g73,g37
n43,g98,g57
n68,g5,g74
n34,g96,g50
n8,g43,g41
n53,g0,g35
n55,g36,g9
n38,g23,g61
n33,g97,g44
n62,g23,g64
n11,g96,g4
n27,g74,g87
n50,g11,g65
n44,g36,g83
n12,g92,g52
n67,g21,g54
n75,g80,g4
n0,g30,g15
n22,g90,g39
n58,g41,g40
n36,g84,g73
n42,g49,g57
n61,g82,g44
n3,g18,g98
n29,g88,g42
n47,g53,g32
n49,g92,g60
n52,g49,g15
n59,g43,g73
n57,g55,g40
n66,g86,g21
n37,g85,g86
n13,g41,g68
n40,g12,g33
n19,g67,g38
n46,g54,g62
n7,g89,g22
n15,g49,g34
n48,g63,g53
n41,g18,g28
n76,g67,g84
n64,g35,g10
n56,g27,g78
n2,g6,g89
n1,g41,g14
