n70,g58,g76
n6,g39,g91
n4,g43,g34
n22,g38,g13
n21,g81,g58
n60,g3,g13
n79,g25,g42
n74,g95,g35
n69,g91,g78
n28,g69,g5
n14,g66,g35
n45,g78,g40
n89,g43,g82
n5,g90,g9
n23,g86,g23
n24,g77,g54
n17,g8,g19
n54,g76,g57
n77,g19,g96
n63,g27,g77
n9,g19,g68
n25,g75,g19
n87,g92,g78
n10,g85,g4
n68,g77,g16
n34,g12,g61
n72,g23,g72
n73,g48,g99
n55,g98,g23
n44,g20,g49
n16,g54,g48
n80,g26,g31
n81,g40,g61
n75,g21,g0
n66,g55,g14
n47,g31,g50
n52,g24,g37
n59,g68,g29
n57,g24,g74
n71,g43,g25
n37,g48,g41
n31,g88,g98
n19,g56,g60
n46,g44,g73
n65,g28,g79
n85,g12,g34
n1,g45,g69
n84,g44,g86
n32,g40,g98
n26,g16,g54
n20,g66,g88
n53,g5,g64
n56,g17,g11
n76,g42,g9
n38,g65,g47
n13,g17,g68
n67,g40,g90
n41,g32,g20
n18,g2,g90
n11,g26,g77
n30,g10,g5
n35,g50,g38
n8,g5,g15
n83,g31,g67
n39,g76,g73
n33,g65,g94
n27,g7,g13
n50,g59,g45
n12,g99,g84
n82,g7,g52
n0,g80,g58
n43,g77,g2
n58,g34,g89
n36,g38,g47
n42,g37,g5
n61,g80,g54
n78,g75,g80
n3,g94,g11
n29,g31,g83
n49,g20,g85
n88,g60,g88
n86,g75,g88
n62,g97,g95
n40,g34,g24
n51,g39,g69
n7,g19,g80
n15,g13,g2
n48,g20,g65
n64,g74,g62
n2,g41,g44
