n70,g98,g31
n65,g87,g34
n6,g66,g79
n35,g43,g5
n4,g55,g49
n32,g86,g55
n72,g10,g57
n26,g65,g22
n21,g91,g93
n60,g91,g87
n20,g50,g19
n73,g67,g8
n51,g61,g17
n69,g97,g14
n71,g33,g0
n28,g64,g37
n14,g72,g19
n45,g28,g40
n39,g97,g26
n5,g49,g75
n23,g73,g43
n24,g1,g98
n54,g74,g26
n16,g46,g66
n17,g96,g7
n18,g12,g71
n63,g55,g65
n9,g36,g85
n25,g75,g88
n30,g65,g47
n31,g6,g78
n10,g14,g25
n43,g46,g91
n68,g46,g90
n34,g53,g4
n8,g95,g94
n53,g90,g24
n55,g61,g49
n38,g66,g49
n33,g82,g48
n62,g27,g22
n11,g1,g46
n27,g9,g42
n50,g10,g92
n44,g27,g59
n12,g44,g50
n67,g58,g26
n0,g7,g25
n22,g77,g82
n58,g80,g68
n36,g91,g65
n42,g2,g71
n61,g26,g17
n3,g58,g47
n29,g49,g58
n47,g63,g35
n49,g79,g82
n52,g96,g58
n59,g67,g37
n57,g79,g12
n66,g56,g50
n37,g18,g24
n13,g18,g25
n40,g13,g16
n19,g9,g39
n46,g82,g20
n7,g88,g76
n15,g45,g78
n48,g64,g48
n41,g3,g44
n64,g69,g48
n56,g89,g39
n2,g73,g24
n1,g90,g79
