n70,g69,g37
n65,g48,g75
n6,g37,g97
n35,g26,g31
n4,g46,g39
n32,g35,g96
n72,g56,g97
n74,g14,g3
n26,g81,g20
n21,g63,g42
n60,g29,g92
n20,g78,g41
n73,g78,g34
n51,g77,g44
n69,g91,g16
n71,g66,g61
n28,g83,g72
n77,g3,g7
n14,g48,g90
n45,g42,g7
n39,g27,g19
n5,g0,g86
n23,g34,g84
n24,g16,g80
n54,g7,g24
n16,g83,g45
n82,g10,g29
n17,g47,g77
n18,g33,g68
n63,g36,g56
n9,g59,g50
n25,g40,g87
n30,g3,g98
n31,g61,g83
n10,g3,g35
n43,g92,g46
n68,g48,g93
n34,g91,g10
n8,g54,g27
n79,g74,g52
n53,g76,g52
n55,g42,g81
n38,g53,g19
n33,g58,g52
n62,g24,g42
n11,g66,g43
n27,g25,g27
n50,g79,g51
n44,g77,g62
n12,g34,g36
n67,g53,g62
n75,g18,g5
n80,g18,g65
n0,g53,g21
n22,g98,g80
n81,g17,g4
n58,g53,g79
n36,g34,g9
n42,g72,g47
n61,g89,g60
n78,g29,g86
n3,g33,g67
n29,g76,g10
n47,g4,g49
n49,g57,g76
n52,g86,g9
n59,g57,g26
n57,g0,g7
n66,g37,g31
n37,g30,g84
n13,g96,g58
n40,g41,g53
n19,g91,g60
n46,g3,g79
n7,g41,g61
n15,g1,g97
n48,g86,g62
n41,g14,g15
n76,g51,g62
n64,g34,g22
n56,g61,g1
n2,g30,g74
n1,g50,g0
