n0,g71,g50
n1,g29,g10
n2,g50,g92
n3,g97,g69
n4,g3,g69
n5,g87,g80
n6,g45,g86
n7,g14,g21
n8,g28,g1
n9,g45,g66
n10,g34,g4
n11,g9,g19
n12,g21,g25
n13,g27,g69
n14,g55,g12
n15,g95,g88
n16,g15,g74
n17,g39,g90
n18,g69,g25
n19,g39,g95
n20,g67,g56
n21,g26,g42
n22,g54,g82
n23,g55,g34
n24,g92,g73
n25,g14,g92
n26,g23,g29
n27,g33,g7
n28,g50,g70
n29,g21,g3
n30,g96,g12
n31,g57,g62
n32,g15,g55
n33,g64,g15
n34,g50,g79
n35,g8,g81
n36,g0,g3
n37,g11,g77
n38,g98,g55
n39,g20,g41
n40,g12,g84
n41,g13,g98
n42,g96,g41
n43,g83,g1
n44,g5,g66
n45,g68,g60
n46,g78,g82
n47,g69,g68
n48,g55,g53
n49,g25,g40
n50,g90,g84
n51,g83,g58
n52,g45,g62
n53,g22,g45
n54,g46,g78
n55,g76,g93
n56,g32,g58
n57,g86,g60
n58,g22,g75
n59,g77,g13
