n70,g12,g45
n6,g33,g24
n4,g50,g90
n22,g29,g25
n21,g63,g42
n60,g22,g95
n79,g56,g94
n74,g11,g91
n69,g32,g98
n28,g42,g3
n14,g4,g29
n45,g56,g10
n5,g33,g51
n23,g58,g53
n24,g96,g43
n17,g34,g90
n54,g74,g43
n77,g48,g99
n63,g60,g9
n9,g2,g70
n25,g61,g90
n87,g88,g25
n10,g29,g11
n68,g85,g47
n34,g54,g57
n72,g63,g34
n73,g64,g99
n55,g98,g42
n44,g56,g83
n16,g78,g30
n80,g37,g73
n81,g1,g50
n75,g57,g68
n66,g58,g0
n47,g69,g72
n52,g31,g8
n59,g59,g95
n57,g33,g4
n71,g27,g99
n37,g5,g92
n31,g77,g26
n19,g74,g65
n46,g34,g23
n65,g36,g18
n85,g86,g46
n1,g68,g4
n84,g40,g52
n32,g32,g30
n26,g19,g35
n20,g51,g22
n53,g38,g73
n56,g15,g37
n76,g70,g41
n38,g8,g20
n13,g36,g65
n67,g91,g7
n41,g78,g42
n18,g79,g48
n11,g65,g47
n30,g31,g86
n35,g0,g30
n8,g31,g2
n83,g98,g16
n39,g5,g22
n33,g66,g14
n27,g2,g4
n50,g63,g52
n12,g91,g79
n82,g84,g94
n0,g1,g96
n43,g26,g75
n58,g44,g9
n36,g24,g76
n42,g29,g78
n61,g48,g82
n78,g10,g66
n3,g45,g68
n29,g37,g23
n49,g27,g60
n88,g64,g8
n86,g94,g89
n62,g36,g11
n40,g7,g98
n51,g92,g73
n7,g3,g38
n15,g36,g50
n48,g63,g82
n64,g17,g73
n2,g29,g3
