n70,g21,g82
n6,g66,g2
n4,g48,g5
n22,g8,g64
n21,g11,g81
n60,g96,g79
n79,g28,g87
n74,g61,g70
n69,g36,g71
n28,g66,g56
n14,g51,g35
n45,g93,g64
n5,g39,g0
n23,g95,g71
n24,g84,g30
n17,g35,g18
n54,g55,g3
n77,g0,g53
n63,g26,g91
n9,g35,g22
n25,g13,g21
n87,g4,g8
n10,g88,g70
n68,g11,g10
n34,g86,g33
n72,g57,g25
n73,g91,g17
n55,g39,g32
n44,g5,g68
n16,g47,g8
n80,g72,g73
n81,g1,g87
n75,g78,g3
n66,g1,g39
n47,g30,g5
n52,g19,g53
n59,g94,g23
n57,g12,g89
n71,g67,g75
n37,g26,g24
n31,g82,g53
n19,g17,g15
n46,g43,g54
n65,g13,g46
n85,g68,g50
n1,g36,g56
n84,g14,g7
n32,g22,g85
n26,g9,g94
n20,g8,g50
n53,g15,g93
n56,g75,g10
n76,g14,g1
n38,g54,g93
n13,g56,g46
n67,g13,g61
n41,g62,g56
n18,g23,g21
n11,g83,g62
n30,g8,g44
n35,g46,g25
n8,g53,g87
n83,g59,g63
n39,g45,g32
n33,g60,g7
n27,g34,g78
n50,g96,g86
n12,g52,g70
n82,g45,g54
n0,g28,g55
n43,g91,g51
n58,g14,g97
n36,g25,g66
n42,g17,g7
n61,g19,g22
n78,g31,g77
n3,g29,g68
n29,g22,g38
n49,g30,g39
n88,g1,g19
n86,g93,g81
n62,g35,g55
n40,g9,g40
n51,g3,g56
n7,g95,g51
n15,g62,g58
n48,g2,g77
n64,g74,g0
n2,g57,g17
